"r_w [mm]","Freq [GHz]","dB(S(Port1,Port1)) []"
1.077,1.435,-31.0088463573608
1.077,1.44,-30.9819306891547
1.077,1.445,-30.955138439115
1.077,1.45,-30.9284689880383
1.077,1.455,-30.9019217250759
1.077,1.46,-30.8754960476367
1.077,1.465,-30.8491913612924
1.077,1.47,-30.8230070796842
1.077,1.475,-30.7969426244314
1.077,1.48,-30.7709974250414
1.077,1.485,-30.7451709188219
1.077,1.49,-30.7194625507936
1.077,1.495,-30.6938717736056
1.077,1.5,-30.6683980474519
1.077,1.505,-30.6430408399894
1.077,1.51,-30.6177996262569
1.077,1.515,-30.5926738885967
1.077,1.52,-30.5676631165766
1.077,1.525,-30.5427668069134
1.077,1.53,-30.5179844633984
1.077,1.535,-30.4933155968236
1.077,1.54,-30.4687597249094
1.077,1.545,-30.4443163722339
1.077,1.55,-30.4199850701626
1.077,1.555,-30.3957653567804
1.077,1.56,-30.3716567768243
1.077,1.565,-30.3476588816169
1.077,1.57,-30.3237712290019
1.077,1.575,-30.2999933832802
1.077,1.58,-30.276324915147
1.077,1.585,-30.2527654016304
1.077,1.59,-30.229314426031
1.077,1.595,-30.2059715778623
1.077,1.6,-30.1827364527924
1.077,1.605,-30.1596086525863
1.077,1.61,-30.1365877850502
1.077,1.615,-30.1136734639753
1.077,1.62,-30.0908653090839
1.077,1.625,-30.0681629459756
1.077,1.63,-30.0455660060748
1.077,1.635,-30.023074126579
1.077,1.64,-30.0006869504083
1.077,1.645,-29.9784041261548
1.077,1.65,-29.9562253080343
1.077,1.655,-29.9341501558377
1.077,1.66,-29.9121783348833
1.077,1.665,-29.8903095159711
1.077,1.67,-29.8685433753359
1.077,1.675,-29.8468795946034
1.077,1.68,-29.8253178607448
1.077,1.685,-29.8038578660344
1.077,1.69,-29.7824993080061
1.077,1.695,-29.7612418894115
1.077,1.7,-29.7400853181788
1.077,1.705,-29.7190293073719
1.077,1.71,-29.6980735751506
1.077,1.715,-29.6772178447313
1.077,1.72,-29.6564618443483
1.077,1.725,-29.6358053072156
1.077,1.73,-29.6152479714902
1.077,1.735,-29.5947895802346
1.077,1.74,-29.5744298813812
1.077,1.745,-29.5541686276965
1.077,1.75,-29.5340055767462
1.077,1.755,-29.513940490861
1.077,1.76,-29.4939731371026
1.077,1.765,-29.4741032872305
1.077,1.77,-29.4543307176692
1.077,1.775,-29.4346552094763
1.077,1.78,-29.4150765483105
1.077,1.785,-29.3955945244007
1.077,1.79,-29.3762089325151
1.077,1.795,-29.3569195719315
1.077,1.8,-29.3377262464069
1.077,1.805,-29.3186287641492
1.077,1.81,-29.2996269377877
1.077,1.815,-29.2807205843451
1.077,1.82,-29.2619095252099
1.077,1.825,-29.2431935861084
1.077,1.83,-29.2245725970784
1.077,1.835,-29.2060463924422
1.077,1.84,-29.1876148107807
1.077,1.845,-29.1692776949073
1.077,1.85,-29.1510348918432
1.077,1.855,-29.1328862527915
1.077,1.86,-29.1148316331136
1.077,1.865,-29.0968708923043
1.077,1.87,-29.0790038939681
1.077,1.875,-29.0612305057959
1.077,1.88,-29.0435505995415
1.077,1.885,-29.0259640509992
1.077,1.89,-29.008470739981
1.077,1.895,-28.9910705502944
1.077,1.9,-28.9737633697207
1.077,1.905,-28.9565490899934
1.077,1.91,-28.9394276067771
1.077,1.915,-28.9223988196462
1.077,1.92,-28.9054626320648
1.077,1.925,-28.8886189513655
1.077,1.93,-28.8718676887303
1.077,1.935,-28.8552087591699
1.077,1.94,-28.8386420815045
1.077,1.945,-28.8221675783447
1.077,1.95,-28.8057851760717
1.077,1.955,-28.7894948048195
1.077,1.96,-28.7732963984552
1.077,1.965,-28.7571898945615
1.077,1.97,-28.7411752344182
1.077,1.975,-28.725252362984
1.077,1.98,-28.7094212288793
1.077,1.985,-28.6936817843684
1.077,1.99,-28.6780339853421
1.077,1.995,-28.6624777913008
1.077,2,-28.6470131653373
1.077,2.005,-28.6316400741201
1.077,2.01,-28.616358487877
1.077,2.015,-28.6011683803785
1.077,2.02,-28.5860697289215
1.077,2.025,-28.5710625143132
1.077,2.03,-28.5561467208553
1.077,2.035,-28.5413223363279
1.077,2.04,-28.5265893519743
1.077,2.045,-28.5119477624849
1.077,2.05,-28.4973975659819
1.077,2.055,-28.4829387640045
1.077,2.06,-28.4685713614932
1.077,2.065,-28.4542953667747
1.077,2.07,-28.4401107915475
1.077,2.075,-28.4260176508663
1.077,2.08,-28.412015963128
1.077,2.085,-28.3981057500563
1.077,2.09,-28.3842870366876
1.077,2.095,-28.3705598513564
1.077,2.1,-28.3569242256807
1.077,2.105,-28.3433801945477
1.077,2.11,-28.3299277960997
1.077,2.115,-28.3165670717195
1.077,2.12,-28.3032980660166
1.077,2.125,-28.2901208268127
1.077,2.13,-28.2770354051276
1.077,2.135,-28.2640418551657
1.077,2.14,-28.2511402343013
1.077,2.145,-28.2383306030647
1.077,2.15,-28.2256130251286
1.077,2.155,-28.212987567294
1.077,2.16,-28.2004542994759
1.077,2.165,-28.1880132946897
1.077,2.17,-28.1756646290372
1.077,2.175,-28.1634083816927
1.077,2.18,-28.1512446348889
1.077,2.185,-28.139173473903
1.077,2.19,-28.1271949870429
1.077,2.195,-28.1153092656328
1.077,2.2,-28.1035164039997
1.077,2.205,-28.0918164994589
1.077,2.21,-28.0802096522999
1.077,2.215,-28.0686959657729
1.077,2.22,-28.0572755460736
1.077,2.225,-28.0459485023299
1.077,2.23,-28.0347149465871
1.077,2.235,-28.0235749937937
1.077,2.24,-28.0125287617868
1.077,2.245,-28.0015763712781
1.077,2.25,-27.9907179458386
1.077,2.255,-27.9799536118848
1.077,2.26,-27.9692834986631
1.077,2.265,-27.9587077382359
1.077,2.27,-27.948226465466
1.077,2.275,-27.9378398180016
1.077,2.28,-27.9275479362619
1.077,2.285,-27.9173509634211
1.077,2.29,-27.9072490453934
1.077,2.295,-27.8972423308176
1.077,2.3,-27.8873309710413
1.077,2.305,-27.8775151201056
1.077,2.31,-27.867794934729
1.077,2.315,-27.8581705742913
1.077,2.32,-27.8486422008178
1.077,2.325,-27.8392099789631
1.077,2.33,-27.8298740759944
1.077,2.335,-27.820634661775
1.077,2.34,-27.8114919087479
1.077,2.345,-27.8024459919187
1.077,2.35,-27.7934970888384
1.077,2.355,-27.7846453795868
1.077,2.36,-27.7758910467543
1.077,2.365,-27.7672342754249
1.077,2.37,-27.7586752531584
1.077,2.375,-27.7502141699723
1.077,2.38,-27.7418512183238
1.077,2.385,-27.7335865930911
1.077,2.39,-27.7254204915557
1.077,2.395,-27.7173531133827
1.077,2.4,-27.7093846606026
1.077,2.405,-27.7015153375915
1.077,2.41,-27.6937453510524
1.077,2.415,-27.686074909995
1.077,2.42,-27.6785042257162
1.077,2.425,-27.6710335117799
1.077,2.43,-27.6636629839967
1.077,2.435,-27.6563928604035
1.077,2.44,-27.6492233612425
1.077,2.445,-27.6421547089403
1.077,2.45,-27.6351871280865
1.077,2.455,-27.6283208454123
1.077,2.46,-27.6215560897684
1.077,2.465,-27.6148930921035
1.077,2.47,-27.6083320854411
1.077,2.475,-27.6018733048578
1.077,2.48,-27.5955169874597
1.077,2.485,-27.5892633723596
1.077,2.49,-27.5831127006533
1.077,2.495,-27.5770652153961
1.077,2.5,-27.5711211615785
1.077,2.505,-27.565280786102
1.077,2.51,-27.5595443377547
1.077,2.515,-27.5539120671856
1.077,2.52,-27.5483842268803
1.077,2.525,-27.5429610711347
1.077,2.53,-27.5376428560295
1.077,2.535,-27.5324298394039
1.077,2.54,-27.5273222808291
1.077,2.545,-27.5223204415812
1.077,2.55,-27.5174245846144
1.077,2.555,-27.5126349745335
1.077,2.56,-27.5079518775657
1.077,2.565,-27.5033755615325
1.077,2.57,-27.4989062958215
1.077,2.575,-27.4945443513571
1.077,2.58,-27.4902900005716
1.077,2.585,-27.4861435173754
1.077,2.59,-27.4821051771273
1.077,2.595,-27.4781752566039
1.077,2.6,-27.474354033969
1.077,2.605,-27.470641788743
1.077,2.61,-27.4670388017709
1.077,2.615,-27.463545355191
1.077,2.62,-27.4601617324023
1.077,2.625,-27.4568882180327
1.077,2.63,-27.4537250979053
1.077,2.635,-27.4506726590056
1.077,2.64,-27.4477311894478
1.077,2.645,-27.4449009784406
1.077,2.65,-27.4421823162527
1.077,2.655,-27.4395754941783
1.077,2.66,-27.4370808045015
1.077,2.665,-27.4346985404608
1.077,2.67,-27.432428996213
1.077,2.675,-27.4302724667971
1.077,2.68,-27.4282292480969
1.077,2.685,-27.426299636804
1.077,2.69,-27.4244839303803
1.077,2.695,-27.4227824270195
1.077,2.7,-27.4211954256091
1.077,2.705,-27.419723225691
