"r_w [mm]","Freq [GHz]","dB(S(Port1,Port1)) []"
1.10038752996683,0.67,-53.563713324823
1.10038752996683,0.675,-53.488229487601
1.10038752996683,0.68,-53.4131367293806
1.10038752996683,0.685,-53.3384281348489
1.10038752996683,0.69,-53.2640969418523
1.10038752996683,0.695,-53.1901365370932
1.10038752996683,0.7,-53.1165404519801
1.10038752996683,0.705,-53.0433023586255
1.10038752996683,0.71,-52.9704160659841
1.10038752996683,0.715,-52.8978755161263
1.10038752996683,0.72,-52.8256747806412
1.10038752996683,0.725,-52.7538080571636
1.10038752996683,0.73,-52.6822696660195
1.10038752996683,0.735,-52.6110540469861
1.10038752996683,0.74,-52.5401557561616
1.10038752996683,0.745,-52.4695694629388
1.10038752996683,0.75,-52.3992899470808
1.10038752996683,0.755,-52.3293120958923
1.10038752996683,0.76,-52.259630901485
1.10038752996683,0.765,-52.1902414581311
1.10038752996683,0.77,-52.1211389597035
1.10038752996683,0.775,-52.052318697198
1.10038752996683,0.78,-51.9837760563345
1.10038752996683,0.785,-51.9155065152352
1.10038752996683,0.79,-51.8475056421752
1.10038752996683,0.795,-51.7797690934041
1.10038752996683,0.8,-51.7122926110354
1.10038752996683,0.805,-51.6450720210008
1.10038752996683,0.81,-51.5781032310681
1.10038752996683,0.815,-51.511382228919
1.10038752996683,0.82,-51.4449050802851
1.10038752996683,0.825,-51.3786679271407
1.10038752996683,0.83,-51.3126669859489
1.10038752996683,0.835,-51.2468985459607
1.10038752996683,0.84,-51.1813589675635
1.10038752996683,0.845,-51.1160446806785
1.10038752996683,0.85,-51.0509521832046
1.10038752996683,0.855,-50.9860780395081
1.10038752996683,0.86,-50.9214188789543
1.10038752996683,0.865,-50.8569713944831
1.10038752996683,0.87,-50.7927323412228
1.10038752996683,0.875,-50.7286985351451
1.10038752996683,0.88,-50.6648668517565
1.10038752996683,0.885,-50.6012342248263
1.10038752996683,0.89,-50.5377976451501
1.10038752996683,0.895,-50.4745541593475
1.10038752996683,0.9,-50.4115008686914
1.10038752996683,0.905,-50.3486349279708
1.10038752996683,0.91,-50.2859535443827
1.10038752996683,0.915,-50.2234539764546
1.10038752996683,0.92,-50.1611335329952
1.10038752996683,0.925,-50.0989895720728
1.10038752996683,0.93,-50.0370195000209
1.10038752996683,0.935,-49.9752207704694
1.10038752996683,0.94,-49.9135908834009
1.10038752996683,0.945,-49.852127384231
1.10038752996683,0.95,-49.7908278629129
1.10038752996683,0.955,-49.7296899530641
1.10038752996683,0.96,-49.6687113311148
1.10038752996683,0.965,-49.6078897154787
1.10038752996683,0.97,-49.5472228657434
1.10038752996683,0.975,-49.4867085818812
1.10038752996683,0.98,-49.4263447034794
1.10038752996683,0.985,-49.3661291089893
1.10038752996683,0.99,-49.306059714993
1.10038752996683,0.995,-49.2461344754887
1.10038752996683,1,-49.1863513811917
1.10038752996683,1.005,-49.1267084588536
1.10038752996683,1.01,-49.0672037705966
1.10038752996683,1.015,-49.007835413263
1.10038752996683,1.02,-48.9486015177812
1.10038752996683,1.025,-48.8895002485448
1.10038752996683,1.03,-48.8305298028074
1.10038752996683,1.035,-48.7716884100895
1.10038752996683,1.04,-48.7129743316007
1.10038752996683,1.045,-48.6543858596734
1.10038752996683,1.05,-48.5959213172101
1.10038752996683,1.055,-48.5375790571423
1.10038752996683,1.06,-48.4793574619014
1.10038752996683,1.065,-48.421254942902
1.10038752996683,1.07,-48.3632699400351
1.10038752996683,1.075,-48.3054009211734
1.10038752996683,1.08,-48.2476463816865
1.10038752996683,1.085,-48.1900048439667
1.10038752996683,1.09,-48.1324748569647
1.10038752996683,1.095,-48.0750549957354
1.10038752996683,1.1,-48.0177438609925
1.10038752996683,1.105,-47.960540078673
1.10038752996683,1.11,-47.9034422995103
1.10038752996683,1.115,-47.8464491986162
1.10038752996683,1.12,-47.7895594750713
1.10038752996683,1.125,-47.7327718515235
1.10038752996683,1.13,-47.6760850737948
1.10038752996683,1.135,-47.6194979104961
1.10038752996683,1.14,-47.5630091526489
1.10038752996683,1.145,-47.5066176133152
1.10038752996683,1.15,-47.4503221272343
1.10038752996683,1.155,-47.3941215504665
1.10038752996683,1.16,-47.3380147600437
1.10038752996683,1.165,-47.2820006536273
1.10038752996683,1.17,-47.2260781491715
1.10038752996683,1.175,-47.170246184594
1.10038752996683,1.18,-47.1145037174521
1.10038752996683,1.185,-47.0588497246254
1.10038752996683,1.19,-47.003283202004
1.10038752996683,1.195,-46.9478031641828
1.10038752996683,1.2,-46.8924086441609
1.10038752996683,1.205,-46.837098693047
1.10038752996683,1.21,-46.7818723797698
1.10038752996683,1.215,-46.7267287907936
1.10038752996683,1.22,-46.6716670298392
1.10038752996683,1.225,-46.6166862176094
1.10038752996683,1.23,-46.5617854915198
1.10038752996683,1.235,-46.5069640054339
1.10038752996683,1.24,-46.4522209294032
1.10038752996683,1.245,-46.3975554494112
1.10038752996683,1.25,-46.3429667671227
1.10038752996683,1.255,-46.2884540996366
1.10038752996683,1.26,-46.2340166792432
1.10038752996683,1.265,-46.1796537531859
1.10038752996683,1.27,-46.1253645834265
1.10038752996683,1.275,-46.0711484464145
1.10038752996683,1.28,-46.0170046328605
1.10038752996683,1.285,-45.9629324475131
1.10038752996683,1.29,-45.9089312089396
1.10038752996683,1.295,-45.8550002493105
1.10038752996683,1.3,-45.8011389141868
1.10038752996683,1.305,-45.7473465623119
1.10038752996683,1.31,-45.6936225654059
1.10038752996683,1.315,-45.6399663079633
1.10038752996683,1.32,-45.5863771870548
1.10038752996683,1.325,-45.5328546121311
1.10038752996683,1.33,-45.479398004831
1.10038752996683,1.335,-45.426006798791
1.10038752996683,1.34,-45.3726804394599
1.10038752996683,1.345,-45.3194183839142
1.10038752996683,1.35,-45.2662201006782
1.10038752996683,1.355,-45.2130850695457
1.10038752996683,1.36,-45.1600127814049
1.10038752996683,1.365,-45.1070027380662
1.10038752996683,1.37,-45.054054452092
1.10038752996683,1.375,-45.0011674466299
1.10038752996683,1.38,-44.9483412552481
1.10038752996683,1.385,-44.895575421773
1.10038752996683,1.39,-44.8428695001298
1.10038752996683,1.395,-44.7902230541849
1.10038752996683,1.4,-44.7376356575916
1.10038752996683,1.405,-44.685106893637
1.10038752996683,1.41,-44.6326363550923
1.10038752996683,1.415,-44.5802236440639
1.10038752996683,1.42,-44.5278683718487
1.10038752996683,1.425,-44.4755701587895
1.10038752996683,1.43,-44.4233286341342
1.10038752996683,1.435,-44.3711434358958
1.10038752996683,1.44,-44.3190142107154
1.10038752996683,1.445,-44.2669406137266
1.10038752996683,1.45,-44.2149223084225
1.10038752996683,1.455,-44.1629589665238
1.10038752996683,1.46,-44.1110502678497
1.10038752996683,1.465,-44.0591959001901
1.10038752996683,1.47,-44.00739555918
1.10038752996683,1.475,-43.9556489481753
1.10038752996683,1.48,-43.9039557781309
1.10038752996683,1.485,-43.8523157674806
1.10038752996683,1.49,-43.8007286420178
1.10038752996683,1.495,-43.7491941347794
1.10038752996683,1.5,-43.6977119859298
1.10038752996683,1.505,-43.6462819426479
1.10038752996683,1.51,-43.5949037590153
1.10038752996683,1.515,-43.5435771959051
1.10038752996683,1.52,-43.4923020208745
1.10038752996683,1.525,-43.4410780080562
1.10038752996683,1.53,-43.3899049380541
1.10038752996683,1.535,-43.3387825978382
1.10038752996683,1.54,-43.2877107806424
1.10038752996683,1.545,-43.2366892858632
1.10038752996683,1.55,-43.1857179189605
1.10038752996683,1.555,-43.1347964913582
1.10038752996683,1.56,-43.0839248203485
1.10038752996683,1.565,-43.0331027289957
1.10038752996683,1.57,-42.9823300460423
1.10038752996683,1.575,-42.931606605816
1.10038752996683,1.58,-42.8809322481387
1.10038752996683,1.585,-42.8303068182357
1.10038752996683,1.59,-42.7797301666472
1.10038752996683,1.595,-42.7292021491409
1.10038752996683,1.6,-42.6787226266251
1.10038752996683,1.605,-42.6282914650639
1.10038752996683,1.61,-42.5779085353934
1.10038752996683,1.615,-42.5275737134385
1.10038752996683,1.62,-42.4772868798321
1.10038752996683,1.625,-42.4270479199342
1.10038752996683,1.63,-42.3768567237527
1.10038752996683,1.635,-42.3267131858655
1.10038752996683,1.64,-42.2766172053437
1.10038752996683,1.645,-42.2265686856753
1.10038752996683,1.65,-42.1765675346907
1.10038752996683,1.655,-42.1266136644892
1.10038752996683,1.66,-42.0767069913658
1.10038752996683,1.665,-42.0268474357402
1.10038752996683,1.67,-41.9770349220859
1.10038752996683,1.675,-41.9272693788607
1.10038752996683,1.68,-41.8775507384383
1.10038752996683,1.685,-41.8278789370406
1.10038752996683,1.69,-41.778253914671
1.10038752996683,1.695,-41.7286756150493
1.10038752996683,1.7,-41.6791439855464
1.10038752996683,1.705,-41.629658977121
1.10038752996683,1.71,-41.5802205442566
1.10038752996683,1.715,-41.5308286448997
1.10038752996683,1.72,-41.4814832403989
1.10038752996683,1.725,-41.4321842954444
1.10038752996683,1.73,-41.3829317780094
1.10038752996683,1.735,-41.3337256592912
1.10038752996683,1.74,-41.2845659136539
1.10038752996683,1.745,-41.2354525185719
1.10038752996683,1.75,-41.1863854545739
1.10038752996683,1.755,-41.1373647051876
1.10038752996683,1.76,-41.0883902568863
1.10038752996683,1.765,-41.0394620990346
1.10038752996683,1.77,-40.9905802238364
1.10038752996683,1.775,-40.9417446262829
1.10038752996683,1.78,-40.8929553041013
1.10038752996683,1.785,-40.844212257705
1.10038752996683,1.79,-40.7955154901433
1.10038752996683,1.795,-40.7468650070534
1.10038752996683,1.8,-40.6982608166117
1.10038752996683,1.805,-40.6497029294867
1.10038752996683,1.81,-40.6011913587922
1.10038752996683,1.815,-40.5527261200415
1.10038752996683,1.82,-40.504307231102
1.10038752996683,1.825,-40.4559347121505
1.10038752996683,1.83,-40.4076085856294
1.10038752996683,1.835,-40.3593288762036
1.10038752996683,1.84,-40.3110956107175
1.10038752996683,1.845,-40.2629088181534
1.10038752996683,1.85,-40.2147685295899
1.10038752996683,1.855,-40.1666747781615
1.10038752996683,1.86,-40.118627599018
1.10038752996683,1.865,-40.0706270292858
1.10038752996683,1.87,-40.0226731080283
1.10038752996683,1.875,-39.974765876208
1.10038752996683,1.88,-39.9269053766489
1.10038752996683,1.885,-39.8790916539991
1.10038752996683,1.89,-39.8313247546945
1.10038752996683,1.895,-39.7836047269226
1.10038752996683,1.9,-39.7359316205875
1.10038752996683,1.905,-39.6883054872746
1.10038752996683,1.91,-39.6407263802164
1.10038752996683,1.915,-39.593194354259
1.10038752996683,1.92,-39.5457094658283
1.10038752996683,1.925,-39.498271772898
1.10038752996683,1.93,-39.4508813349565
1.10038752996683,1.935,-39.403538212976
1.10038752996683,1.94,-39.3562424693805
1.10038752996683,1.945,-39.3089941680157
1.10038752996683,1.95,-39.2617933741186
1.10038752996683,1.955,-39.2146401542875
1.10038752996683,1.96,-39.1675345764528
1.10038752996683,1.965,-39.1204767098483
1.10038752996683,1.97,-39.0734666249828
1.10038752996683,1.975,-39.0265043936122
1.10038752996683,1.98,-38.9795900887115
1.10038752996683,1.985,-38.9327237844489
1.10038752996683,1.99,-38.8859055561579
1.10038752996683,1.995,-38.8391354803122
1.10038752996683,2,-38.7924136344991
1.10038752996683,2.005,-38.745740097395
1.10038752996683,2.01,-38.6991149487397
1.10038752996683,2.015,-38.6525382693124
1.10038752996683,2.02,-38.6060101409075
1.10038752996683,2.025,-38.5595306463104
1.10038752996683,2.03,-38.513099869275
1.10038752996683,2.035,-38.4667178945001
1.10038752996683,2.04,-38.420384807607
1.10038752996683,2.045,-38.3741006951174
1.10038752996683,2.05,-38.3278656444314
1.10038752996683,2.055,-38.2816797438062
1.10038752996683,2.06,-38.2355430823348
1.10038752996683,2.065,-38.1894557499253
1.10038752996683,2.07,-38.1434178372806
1.10038752996683,2.075,-38.0974294358783
1.10038752996683,2.08,-38.0514906379506
1.10038752996683,2.085,-38.0056015364655
1.10038752996683,2.09,-37.959762225107
1.10038752996683,2.095,-37.9139727982572
1.10038752996683,2.1,-37.8682333509769
1.10038752996683,2.105,-37.8225439789884
1.10038752996683,2.11,-37.776904778657
1.10038752996683,2.115,-37.7313158469738
1.10038752996683,2.12,-37.6857772815384
1.10038752996683,2.125,-37.640289180542
1.10038752996683,2.13,-37.5948516427508
1.10038752996683,2.135,-37.5494647674897
1.10038752996683,2.14,-37.5041286546261
1.10038752996683,2.145,-37.4588434045543
1.10038752996683,2.15,-37.4136091181799
1.10038752996683,2.155,-37.3684258969047
1.10038752996683,2.16,-37.3232938426116
1.10038752996683,2.165,-37.2782130576499
1.10038752996683,2.17,-37.233183644821
1.10038752996683,2.175,-37.1882057073642
1.10038752996683,2.18,-37.1432793489429
1.10038752996683,2.185,-37.0984046736304
1.10038752996683,2.19,-37.0535817858973
1.10038752996683,2.195,-37.0088107905976
1.10038752996683,2.2,-36.9640917929562
1.10038752996683,2.205,-36.919424898556
1.10038752996683,2.21,-36.8748102133255
1.10038752996683,2.215,-36.8302478435267
1.10038752996683,2.22,-36.7857378957426
1.10038752996683,2.225,-36.7412804768661
1.10038752996683,2.23,-36.6968756940879
1.10038752996683,2.235,-36.6525236548854
1.10038752996683,2.24,-36.6082244670115
1.10038752996683,2.245,-36.5639782384835
1.10038752996683,2.25,-36.5197850775729
1.10038752996683,2.255,-36.4756450927943
1.10038752996683,2.26,-36.4315583928955
1.10038752996683,2.265,-36.387525086847
1.10038752996683,2.27,-36.3435452838325
1.10038752996683,2.275,-36.299619093239
1.10038752996683,2.28,-36.2557466246474
1.10038752996683,2.285,-36.2119279878227
1.10038752996683,2.29,-36.1681632927056
1.10038752996683,2.295,-36.1244526494029
1.10038752996683,2.3,-36.0807961681791
1.10038752996683,2.305,-36.0371939594475
1.10038752996683,2.31,-35.9936461337621
1.10038752996683,2.315,-35.950152801809
1.10038752996683,2.32,-35.9067140743987
1.10038752996683,2.325,-35.8633300624579
1.10038752996683,2.33,-35.8200008770219
1.10038752996683,2.335,-35.776726629227
1.10038752996683,2.34,-35.7335074303029
1.10038752996683,2.345,-35.6903433915657
1.10038752996683,2.35,-35.647234624411
1.10038752996683,2.355,-35.6041812403063
1.10038752996683,2.36,-35.5611833507849
1.10038752996683,2.365,-35.5182410674388
1.10038752996683,2.37,-35.4753545019125
1.10038752996683,2.375,-35.4325237658968
1.10038752996683,2.38,-35.389748971122
1.10038752996683,2.385,-35.3470302293526
1.10038752996683,2.39,-35.304367652381
1.10038752996683,2.395,-35.2617613520218
1.10038752996683,2.4,-35.2192114401063
1.10038752996683,2.405,-35.176718028477
1.10038752996683,2.41,-35.1342812289822
1.10038752996683,2.415,-35.0919011534709
1.10038752996683,2.42,-35.0495779137874
1.10038752996683,2.425,-35.0073116217671
1.10038752996683,2.43,-34.965102389231
1.10038752996683,2.435,-34.9229503279811
1.10038752996683,2.44,-34.8808555497964
1.10038752996683,2.445,-34.8388181664277
1.10038752996683,2.45,-34.7968382895941
1.10038752996683,2.455,-34.7549160309781
1.10038752996683,2.46,-34.7130515022221
1.10038752996683,2.465,-34.671244814924
1.10038752996683,2.47,-34.6294960806337
1.10038752996683,2.475,-34.5878054108494
1.10038752996683,2.48,-34.5461729170138
1.10038752996683,2.485,-34.5045987105109
1.10038752996683,2.49,-34.4630829026624
1.10038752996683,2.495,-34.4216256047244
1.10038752996683,2.5,-34.3802269278846
1.10038752996683,2.505,-34.3388869832589
1.10038752996683,2.51,-34.2976058818888
1.10038752996683,2.515,-34.2563837347382
1.10038752996683,2.52,-34.2152206526912
1.10038752996683,2.525,-34.1741167465488
1.10038752996683,2.53,-34.1330721270272
1.10038752996683,2.535,-34.0920869047546
1.10038752996683,2.54,-34.0511611902695
1.10038752996683,2.545,-34.0102950940181
1.10038752996683,2.55,-33.9694887263525
1.10038752996683,2.555,-33.9287421975283
1.10038752996683,2.56,-33.888055617703
1.10038752996683,2.565,-33.8474290969342
1.10038752996683,2.57,-33.8068627451774
1.10038752996683,2.575,-33.766356672285
1.10038752996683,2.58,-33.7259109880044
1.10038752996683,2.585,-33.6855258019762
1.10038752996683,2.59,-33.6452012237337
1.10038752996683,2.595,-33.6049373627008
1.10038752996683,2.6,-33.564734328191
1.10038752996683,2.605,-33.5245922294067
1.10038752996683,2.61,-33.4845111754377
1.10038752996683,2.615,-33.4444912752601
1.10038752996683,2.62,-33.4045326377362
1.10038752996683,2.625,-33.3646353716129
1.10038752996683,2.63,-33.3247995855214
1.10038752996683,2.635,-33.2850253879766
1.10038752996683,2.64,-33.2453128873763
1.10038752996683,2.645,-33.2056621920009
1.10038752996683,2.65,-33.1660734100129
1.10038752996683,2.655,-33.1265466494567
1.10038752996683,2.66,-33.0870820182584
1.10038752996683,2.665,-33.0476796242252
1.10038752996683,2.67,-33.0083395750459
1.10038752996683,2.675,-32.9690619782902
1.10038752996683,2.68,-32.9298469414095
1.10038752996683,2.685,-32.8906945717362
1.10038752996683,2.69,-32.8516049764843
1.10038752996683,2.695,-32.8125782627499
1.10038752996683,2.7,-32.7736145375107
1.10038752996683,2.705,-32.7347139076271
1.10038752996683,2.71,-32.6958764798423
1.10038752996683,2.715,-32.6571023607828
1.10038752996683,2.72,-32.6183916569591
1.10038752996683,2.725,-32.5797444747659
1.10038752996683,2.73,-32.5411609204834
1.10038752996683,2.735,-32.5026411002775
1.10038752996683,2.74,-32.4641851202007
1.10038752996683,2.745,-32.425793086193
1.10038752996683,2.75,-32.3874651040828
1.10038752996683,2.755,-32.349201279588
1.10038752996683,2.76,-32.3110017183163
1.10038752996683,2.765,-32.2728665257674
1.10038752996683,2.77,-32.2347958073329
1.10038752996683,2.775,-32.1967896682982
1.10038752996683,2.78,-32.1588482138435
1.10038752996683,2.785,-32.1209715490451
1.10038752996683,2.79,-32.0831597788763
1.10038752996683,2.795,-32.0454130082092
1.10038752996683,2.8,-32.007731341816
1.10038752996683,2.805,-31.9701148843701
1.10038752996683,2.81,-31.9325637404479
1.10038752996683,2.815,-31.89507801453
1.10038752996683,2.82,-31.857657811003
1.10038752996683,2.825,-31.8203032341609
1.10038752996683,2.83,-31.7830143882067
1.10038752996683,2.835,-31.7457913772541
1.10038752996683,2.84,-31.7086343053292
1.10038752996683,2.845,-31.6715432763719
1.10038752996683,2.85,-31.6345183942383
1.10038752996683,2.855,-31.5975597627016
1.10038752996683,2.86,-31.5606674854547
1.10038752996683,2.865,-31.5238416661114
1.10038752996683,2.87,-31.4870824082086
1.10038752996683,2.875,-31.4503898152079
1.10038752996683,2.88,-31.4137639904978
1.10038752996683,2.885,-31.3772050373955
1.10038752996683,2.89,-31.3407130591485
1.10038752996683,2.895,-31.304288158937
1.10038752996683,2.9,-31.2679304398757
1.10038752996683,2.905,-31.2316400050159
1.10038752996683,2.91,-31.195416957347
1.10038752996683,2.915,-31.1592613997992
1.10038752996683,2.92,-31.1231734352449
1.10038752996683,2.925,-31.0871531665015
1.10038752996683,2.93,-31.0512006963324
1.10038752996683,2.935,-31.0153161274499
1.10038752996683,2.94,-30.979499562517
1.10038752996683,2.945,-30.9437511041492
1.10038752996683,2.95,-30.908070854917
1.10038752996683,2.955,-30.8724589173475
1.10038752996683,2.96,-30.8369153939269
1.10038752996683,2.965,-30.8014403871021
1.10038752996683,2.97,-30.7660339992832
1.10038752996683,2.975,-30.7306963328451
1.10038752996683,2.98,-30.69542749013
1.10038752996683,2.985,-30.6602275734491
1.10038752996683,2.99,-30.6250966850847
1.10038752996683,2.995,-30.5900349272923
1.10038752996683,3,-30.5550424023023
1.10038752996683,3.005,-30.5201192123226
1.10038752996683,3.01,-30.4852654595398
1.10038752996683,3.015,-30.4504812461216
1.10038752996683,3.02,-30.4157666742187
1.10038752996683,3.025,-30.3811218459666
1.10038752996683,3.03,-30.3465468634875
1.10038752996683,3.035,-30.3120418288921
1.10038752996683,3.04,-30.2776068442816
1.10038752996683,3.045,-30.2432420117492
1.10038752996683,3.05,-30.2089474333824
1.10038752996683,3.055,-30.1747232112639
1.10038752996683,3.06,-30.1405694474741
1.10038752996683,3.065,-30.1064862440924
1.10038752996683,3.07,-30.0724737031987
1.10038752996683,3.075,-30.0385319268752
1.10038752996683,3.08,-30.0046610172082
1.10038752996683,3.085,-29.9708610762887
1.10038752996683,3.09,-29.937132206215
1.10038752996683,3.095,-29.9034745090932
1.10038752996683,3.1,-29.869888087039
1.10038752996683,3.105,-29.836373042179
1.10038752996683,3.11,-29.8029294766517
1.10038752996683,3.115,-29.7695574926091
1.10038752996683,3.12,-29.7362571922174
1.10038752996683,3.125,-29.7030286776584
1.10038752996683,3.13,-29.6698720511304
1.10038752996683,3.135,-29.6367874148491
1.10038752996683,3.14,-29.6037748710487
1.10038752996683,3.145,-29.5708345219828
1.10038752996683,3.15,-29.5379664699245
1.10038752996683,3.155,-29.505170817168
1.10038752996683,3.16,-29.4724476660286
1.10038752996683,3.165,-29.4397971188436
1.10038752996683,3.17,-29.4072192779725
1.10038752996683,3.175,-29.3747142457976
1.10038752996683,3.18,-29.3422821247242
1.10038752996683,3.185,-29.309923017181
1.10038752996683,3.19,-29.2776370256201
1.10038752996683,3.195,-29.2454242525171
1.10038752996683,3.2,-29.213284800371
1.10038752996683,3.205,-29.1812187717044
1.10038752996683,3.21,-29.1492262690629
1.10038752996683,3.215,-29.1173073950151
1.10038752996683,3.22,-29.0854622521523
1.10038752996683,3.225,-29.0536909430875
1.10038752996683,3.23,-29.0219935704555
1.10038752996683,3.235,-28.9903702369116
1.10038752996683,3.24,-28.9588210451315
1.10038752996683,3.245,-28.9273460978097
1.10038752996683,3.25,-28.895945497659
1.10038752996683,3.255,-28.8646193474093
1.10038752996683,3.26,-28.8333677498062
1.10038752996683,3.265,-28.80219080761
1.10038752996683,3.27,-28.7710886235941
1.10038752996683,3.275,-28.7400613005434
1.10038752996683,3.28,-28.7091089412527
1.10038752996683,3.285,-28.678231648525
1.10038752996683,3.29,-28.6474295251696
1.10038752996683,3.295,-28.616702674
1.10038752996683,3.3,-28.5860511978316
1.10038752996683,3.305,-28.5554751994799
1.10038752996683,3.31,-28.5249747817577
1.10038752996683,3.315,-28.4945500474726
1.10038752996683,3.32,-28.4642010994248
1.10038752996683,3.325,-28.4339280404037
1.10038752996683,3.33,-28.4037309731854
1.10038752996683,3.335,-28.3736100005293
1.10038752996683,3.34,-28.3435652251756
1.10038752996683,3.345,-28.313596749841
1.10038752996683,3.35,-28.2837046772162
1.10038752996683,3.355,-28.2538891099616
1.10038752996683,3.36,-28.2241501507038
1.10038752996683,3.365,-28.1944879020319
1.10038752996683,3.37,-28.1649024664933
1.10038752996683,3.375,-28.1353939465893
1.10038752996683,3.38,-28.1059624447713
1.10038752996683,3.385,-28.0766080634357
1.10038752996683,3.39,-28.0473309049199
1.10038752996683,3.395,-28.0181310714971
1.10038752996683,3.4,-27.9890086653716
1.10038752996683,3.405,-27.9599637886733
1.10038752996683,3.41,-27.9309965434533
1.10038752996683,3.415,-27.9021070316775
1.10038752996683,3.42,-27.873295355222
1.10038752996683,3.425,-27.8445616158666
1.10038752996683,3.43,-27.8159059152895
1.10038752996683,3.435,-27.7873283550609
1.10038752996683,3.44,-27.7588290366371
1.10038752996683,3.445,-27.730408061354
1.10038752996683,3.45,-27.7020655304206
1.10038752996683,3.455,-27.6738015449123
1.10038752996683,3.46,-27.6456162057643
1.10038752996683,3.465,-27.6175096137642
1.10038752996683,3.47,-27.5894818695452
1.10038752996683,3.475,-27.5615330735785
1.10038752996683,3.48,-27.5336633261661
1.10038752996683,3.485,-27.5058727274328
1.10038752996683,3.49,-27.4781613773186
1.10038752996683,3.495,-27.4505293755707
1.10038752996683,3.5,-27.422976821735
1.10038752996683,3.505,-27.3955038151484
1.10038752996683,3.51,-27.3681104549297
1.10038752996683,3.515,-27.3407968399712
1.10038752996683,3.52,-27.3135630689299
1.10038752996683,3.525,-27.2864092402183
1.10038752996683,3.53,-27.2593354519953
1.10038752996683,3.535,-27.232341802157
1.10038752996683,3.54,-27.205428388327
1.10038752996683,3.545,-27.1785953078469
1.10038752996683,3.55,-27.1518426577661
1.10038752996683,3.555,-27.1251705348321
1.10038752996683,3.56,-27.0985790354804
1.10038752996683,3.565,-27.0720682558238
1.10038752996683,3.57,-27.0456382916418
1.10038752996683,3.575,-27.0192892383706
1.10038752996683,3.58,-26.9930211910915
1.10038752996683,3.585,-26.9668342445202
1.10038752996683,3.59,-26.9407284929955
1.10038752996683,3.595,-26.9147040304683
1.10038752996683,3.6,-26.8887609504895
1.10038752996683,3.605,-26.8628993461987
1.10038752996683,3.61,-26.8371193103125
1.10038752996683,3.615,-26.8114209351119
1.10038752996683,3.62,-26.7858043124309
1.10038752996683,3.625,-26.7602695336435
1.10038752996683,3.63,-26.7348166896519
1.10038752996683,3.635,-26.7094458708731
1.10038752996683,3.64,-26.6841571672267
1.10038752996683,3.645,-26.6589506681219
1.10038752996683,3.65,-26.6338264624441
1.10038752996683,3.655,-26.6087846385419
1.10038752996683,3.66,-26.5838252842138
1.10038752996683,3.665,-26.5589484866942
1.10038752996683,3.67,-26.5341543326403
1.10038752996683,3.675,-26.509442908118
1.10038752996683,3.68,-26.4848142985879
1.10038752996683,3.685,-26.4602685888912
1.10038752996683,3.69,-26.4358058632354
1.10038752996683,3.695,-26.4114262051804
1.10038752996683,3.7,-26.3871296976231
1.10038752996683,3.705,-26.3629164227837
1.10038752996683,3.71,-26.3387864621901
1.10038752996683,3.715,-26.3147398966638
1.10038752996683,3.72,-26.2907768063041
1.10038752996683,3.725,-26.2668972704734
1.10038752996683,3.73,-26.243101367782
1.10038752996683,3.735,-26.2193891760724
1.10038752996683,3.74,-26.1957607724041
1.10038752996683,3.745,-26.1722162330378
1.10038752996683,3.75,-26.1487556334197
1.10038752996683,3.755,-26.1253790481657
1.10038752996683,3.76,-26.1020865510458
1.10038752996683,3.765,-26.0788782149673
1.10038752996683,3.77,-26.0557541119596
1.10038752996683,3.775,-26.0327143131574
1.10038752996683,3.78,-26.0097588887843
1.10038752996683,3.785,-25.986887908137
1.10038752996683,3.79,-25.9641014395683
1.10038752996683,3.795,-25.9413995504708
1.10038752996683,3.8,-25.9187823072602
1.10038752996683,3.805,-25.8962497753584
1.10038752996683,3.81,-25.8738020191773
1.10038752996683,3.815,-25.8514391021012
1.10038752996683,3.82,-25.8291610864705
1.10038752996683,3.825,-25.8069680335643
1.10038752996683,3.83,-25.784860003584
1.10038752996683,3.835,-25.7628370556353
1.10038752996683,3.84,-25.7408992477121
1.10038752996683,3.845,-25.7190466366786
1.10038752996683,3.85,-25.6972792782525
1.10038752996683,3.855,-25.6755972269874
1.10038752996683,3.86,-25.6540005362561
1.10038752996683,3.865,-25.6324892582328
1.10038752996683,3.87,-25.611063443876
1.10038752996683,3.875,-25.5897231429111
1.10038752996683,3.88,-25.5684684038132
1.10038752996683,3.885,-25.5472992737897
1.10038752996683,3.89,-25.5262157987627
1.10038752996683,3.895,-25.5052180233519
1.10038752996683,3.9,-25.4843059908574
1.10038752996683,3.905,-25.4634797432417
1.10038752996683,3.91,-25.4427393211133
1.10038752996683,3.915,-25.4220847637083
1.10038752996683,3.92,-25.4015161088743
1.10038752996683,3.925,-25.381033393052
1.10038752996683,3.93,-25.3606366512588
1.10038752996683,3.935,-25.3403259170711
1.10038752996683,3.94,-25.3201012226074
1.10038752996683,3.945,-25.299962598511
1.10038752996683,3.95,-25.279910073933
1.10038752996683,3.955,-25.2599436765155
1.10038752996683,3.96,-25.2400634323743
1.10038752996683,3.965,-25.2202693660822
1.10038752996683,3.97,-25.2005615006521
1.10038752996683,3.975,-25.1809398575205
1.10038752996683,3.98,-25.1614044565304
1.10038752996683,3.985,-25.1419553159151
1.10038752996683,3.99,-25.1225924522815
1.10038752996683,3.995,-25.1033158805939
1.10038752996683,4,-25.0841256141574
1.10038752996683,4.005,-25.0650216646019
1.10038752996683,4.01,-25.046004041866
