"Freq [GHz]","dB(St(Feedline_T1,Feedline_T1)) []"
2.52,-0.0810536847154808
2.525,-0.0813498825845445
2.53,-0.0816492840843725
2.535,-0.0819520570676516
2.54,-0.082258381516334
2.545,-0.0825684506313957
2.55,-0.0828824720374337
2.555,-0.0832006691160305
2.56,-0.0835232824838977
2.565,-0.0838505716339512
2.57,-0.0841828167601626
2.575,-0.0845203207900183
2.58,-0.0848634116520067
2.585,-0.0852124448095991
2.59,-0.085567806098146
2.595,-0.0859299149066178
2.6,-0.0862992277529564
2.605,-0.0866762423095296
2.61,-0.0870615019445546
2.615,-0.0874556008563505
2.62,-0.0878591898904092
2.625,-0.0882729831449226
2.63,-0.0886977654891118
2.635,-0.089134401141218
2.64,-0.0895838434801179
2.645,-0.0900471462972214
2.65,-0.0905254767352086
2.655,-0.0910201302084354
2.66,-0.0915325476592085
2.665,-0.0920643355768546
2.67,-0.0926172892962063
2.675,-0.0931934202034053
2.68,-0.093794987615205
2.685,-0.0944245362712252
2.69,-0.0950849405961503
2.695,-0.0957794571640897
2.7,-0.0965117871469974
2.705,-0.097286150976361
2.71,-0.098107378022577
2.715,-0.0989810148416853
2.72,-0.0999134565105424
2.725,-0.100912106847457
2.73,-0.101985575003862
2.735,-0.10314391816522
2.74,-0.104398943130619
2.745,-0.105764583656007
2.75,-0.107257376088772
2.755,-0.108897063636958
2.76,-0.110707370561564
2.765,-0.11271700308888
2.77,-0.114960956092597
2.775,-0.117482236959947
2.78,-0.120334165818757
2.785,-0.123583482908774
2.79,-0.127314603085624
2.795,-0.131635527118609
2.8,-0.136686188480887
2.805,-0.142650450540484
2.81,-0.149773693912825
2.815,-0.158389171445552
2.82,-0.168958486733281
2.825,-0.182135518508854
2.83,-0.198870616975563
2.835,-0.220586724348063
2.84,-0.249489862261309
2.845,-0.289144165255244
2.85,-0.345601038205389
2.855,-0.429778225482966
2.86,-0.5629234296023
2.865,-0.790581769457788
2.87,-1.2234869299463
2.875,-2.17993561371954
2.88,-4.81045278459972
2.885,-16.0746540886909
2.89,-8.55324541354296
2.895,-3.27677434475234
2.9,-1.66502507768149
2.905,-1.00889465594257
2.91,-0.688068480001739
2.915,-0.509902974884092
2.92,-0.401509100571692
2.925,-0.330945264331404
2.93,-0.282566020686242
2.935,-0.248018152399307
2.94,-0.222526616191582
2.945,-0.203206759198299
2.95,-0.188234774185025
2.955,-0.17641277921142
2.96,-0.166928140132778
2.965,-0.159214043890844
2.97,-0.152865491423329
2.975,-0.147586928509492
2.98,-0.143158611985661
2.985,-0.139414433334253
2.99,-0.136226951159583
2.995,-0.133497075930171
3,-0.131146826112096
3.005,-0.1291141540056
3.01,-0.127349192431652
3.015,-0.125811493465095
3.02,-0.124467970611585
3.025,-0.123291346910904
3.03,-0.122258971694163
3.035,-0.12135190923019
3.04,-0.120554230150682
3.045,-0.119852455690743
3.05,-0.119235118212565
3.055,-0.118692411017439
3.06,-0.118215907300739
3.065,-0.117798333076772
3.07,-0.117433382545437
3.075,-0.117115567070592
3.08,-0.116840090954085
3.085,-0.116602748705847
3.09,-0.116399839661152
3.095,-0.116228096675693
3.1,-0.11608462630642
3.105,-0.115966858410931
3.11,-0.1158725035075
3.115,-0.115799516559278
3.12,-0.115746066099473
3.125,-0.115710507815747
3.13,-0.115691361872474
3.135,-0.11568729337822
3.14,-0.115697095509408
3.145,-0.115719674885255
3.15,-0.115754038856945
3.155,-0.11579928443002
3.16,-0.115854588584342
3.165,-0.115919199793699
3.17,-0.115992430578043
3.175,-0.116073650947109
3.18,-0.116162282615549
3.185,-0.116257793887501
3.19,-0.116359695123541
3.195,-0.116467534715421
3.2,-0.116580895504677
3.205,-0.116699391589996
3.21,-0.11682266547593
3.215,-0.116950385521814
3.22,-0.117082243655446
3.225,-0.117217953320455
3.23,-0.117357247630658
3.235,-0.117499877707746
3.24,-0.117645611181922
3.245,-0.117794230837474
3.25,-0.117945533387557
3.255,-0.118099328364203
3.26,-0.11825543711157
3.265,-0.118413691871409
3.27,-0.118573934951423
3.275,-0.118736017967975
3.28,-0.118899801155678
3.285,-0.11906515273733
3.29,-0.119231948348114
3.295,-0.119400070508934
