Freq_GHz,dB_S11
2.4,-0.08395304700797485
2.41,-0.08413678392972004
2.42,-0.08432049590702359
2.43,-0.08450424154870673
2.44,-0.08468808002149837
2.45,-0.08487207108117684
2.46,-0.08505627510468583
2.47,-0.08524075312341564
2.48,-0.08542556685770564
2.49,-0.08561077875271801
2.5,-0.08579645201579873
2.51,-0.08598265065550367
2.52,-0.08616943952240198
2.53,-0.08635688435189054
2.54,-0.08654505180918509
2.55,-0.08673400953669688
2.56,-0.08692382620406917
2.57,-0.08711457156109562
2.58,-0.08730631649385356
2.59,-0.08749913308434805
2.6,-0.08769309467404487
2.61,-0.0878882759316793
2.62,-0.08808475292579482
2.63,-0.08828260320251773
2.64,-0.08848190586908473
2.65,-0.0886827416838096
2.66,-0.08888519315308943
2.67,-0.08908934463631826
2.68,-0.08929528245950663
2.69,-0.08950309503862164
2.7,-0.08971287301373686
2.71,-0.08992470939521241
2.72,-0.09013869972332016
2.73,-0.09035494224289212
2.74,-0.09057353809473576
2.75,-0.09079459152590627
2.76,-0.09101821012105618
2.77,-0.09124450505752929
2.78,-0.09147359138712173
2.79,-0.09170558834796215
2.8,-0.09194061971034778
2.81,-0.09217881416097956
2.82,-0.09242030573072477
2.83,-0.09266523427176901
2.84,-0.09291374599091493
2.85,-0.09316599404685896
2.86,-0.09342213922046813
2.87,-0.09368235066861019
2.88,-0.09394680677367805
2.89,-0.09421569610314427
2.9,-0.09448921849571454
2.91,-0.09476758629366082
2.92,-0.09505102574422593
2.93,-0.09533977859720587
2.94,-0.09563410393060609
2.95,-0.09593428024230369
2.96,-0.09624060785284155
2.97,-0.09655341167305423
2.98,-0.09687304440106778
2.99,-0.09719989022599718
3.0,-0.09753436913176422
3.01,-0.09787694191409653
3.02,-0.09822811604810552
3.03,-0.09858845257429252
3.04,-0.09895857420859576
3.05,-0.09933917492999371
3.06,-0.09973103135914728
3.07,-0.10013501631822365
3.08,-0.10055211505969504
3.09,-0.10098344477739785
3.1,-0.10143027817562601
3.11,-0.10189407208329224
3.12,-0.10237650237754074
3.13,-0.102879506847095
3.14,-0.10340533811312565
3.15,-0.10395662937959702
3.16,-0.10453647667092093
3.17,-0.10514854242580832
3.18,-0.10579718698800986
3.19,-0.1064876368676123
3.2,-0.10722620193866676
3.21,-0.10802055844239906
3.22,-0.10888012147240807
3.23,-0.10981654061068874
3.24,-0.11084436727630097
3.25,-0.1119819649140027
3.26,-0.11325276796124552
3.27,-0.1146870502951673
3.28,-0.11632445188420118
3.29,-0.11821765723786545
3.3,-0.12043786400289523
3.31,-0.1230831057967239
3.32,-0.12629125852463646
3.33,-0.1302609862036731
3.34,-0.13528665670821877
3.35,-0.14181891869999647
3.36,-0.150574844931741
3.37,-0.1627496886438327
3.38,-0.18045242545571047
3.39,-0.20767946517243646
3.4,-0.25273399884853914
