Freq_GHz,dB_S11
2.4,-0.09112954418948335
2.41,-0.09139629122658813
2.42,-0.0916631362950353
2.43,-0.09193029712347534
2.44,-0.09219799290159286
2.45,-0.09246644459636988
2.46,-0.09273587529155315
2.47,-0.09300651055259324
2.48,-0.09327857881961144
2.49,-0.09355231183129345
2.5,-0.09382794508280405
2.51,-0.09410571832126205
2.52,-0.0943858760826502
2.53,-0.09466866827449733
2.54,-0.09495435080917734
2.55,-0.09524318629316816
2.56,-0.09553544477838362
2.57,-0.0958314045822266
2.58,-0.09613135318400826
2.59,-0.09643558820619873
2.6,-0.09674441849006037
2.61,-0.09705816527642364
2.62,-0.09737716350377718
2.63,-0.09770176323735486
2.64,-0.09803233124478311
2.65,-0.0983692527358814
2.66,-0.09871293328664003
2.67,-0.0990638009701174
2.68,-0.09942230872027238
2.69,-0.0997889369583111
2.7,-0.10016419651555886
2.71,-0.10054863189175883
2.72,-0.10094282489353588
2.73,-0.10134739870462846
2.74,-0.10176302244727951
2.75,-0.10219041630377179
2.76,-0.1026303572778334
2.77,-0.10308368568884343
2.78,-0.10355131250701281
2.79,-0.10403422765602384
2.8,-0.10453350943131842
2.81,-0.10505033520822361
2.82,-0.10558599364513503
2.83,-0.10614189862441598
2.84,-0.10671960521873297
2.85,-0.10732082802507442
2.86,-0.107947462275077
2.87,-0.10860160821106796
2.88,-0.10928559931614712
2.89,-0.11000203510850035
2.9,-0.11075381936013004
2.91,-0.1115442047867535
2.92,-0.11237684548763127
2.93,-0.11325585870488651
2.94,-0.11418589783790253
2.95,-0.1151722391111305
2.96,-0.11622088488317396
2.97,-0.11733868733877678
2.98,-0.11853349727681814
2.99,-0.11981434396616653
3.0,-0.12119165368449535
3.01,-0.12267751671499959
3.02,-0.12428601543708852
3.03,-0.1260336299673949
3.04,-0.12793974295190486
3.05,-0.13002727210080173
3.06,-0.13232346864780206
3.07,-0.13486093320746015
3.08,-0.13767891912587812
3.09,-0.1408250198144739
3.1,-0.14435737443374408
3.11,-0.14834758137763043
3.12,-0.15288459027046955
3.13,-0.15807996493070325
3.14,-0.16407509521189387
3.15,-0.17105122329933758
3.16,-0.17924360511018422
3.17,-0.18896186293340025
3.18,-0.20061980237254456
3.19,-0.21478003271799495
3.2,-0.23222233859326707
3.21,-0.25405125489165287
3.22,-0.2818704347993712
3.23,-0.3180749438054287
3.24,-0.36636027906883817
3.25,-0.43264810447638424
3.26,-0.526854888298546
3.27,-0.6664633704143448
3.28,-0.8841816937364824
3.29,-1.2453564365578538
3.3,-1.8888237635107428
3.31,-3.1124011167444716
3.32,-5.3673778536303605
3.33,-7.377815429409868
3.34,-5.441246329990764
3.35,-3.19678340433814
3.36,-1.9674055397532932
3.37,-1.3154519351317637
3.38,-0.946544942744138
3.39,-0.7224969857617002
3.4,-0.5778639712494542
