Freq_GHz,dB_S11
2.4,-0.07852160055140298
2.41,-0.07884825062381645
2.42,-0.07918313756613016
2.43,-0.07952726745779756
2.44,-0.07988173448691843
2.45,-0.08024773317857745
2.46,-0.08062657255427733
2.47,-0.08101969258082724
2.48,-0.08142868334355666
2.49,-0.08185530747381374
2.5,-0.08230152647949893
2.51,-0.08276953177645976
2.52,-0.08326178140683313
2.53,-0.08378104366903961
2.54,-0.08433044918909442
2.55,-0.08491355335416713
2.56,-0.08553441153531399
2.57,-0.08619767018457207
2.58,-0.08690867775442508
2.59,-0.08767362052693342
2.6,-0.08849968995634627
2.61,-0.08939529016470249
2.62,-0.09037029698697813
2.63,-0.09143638373229787
2.64,-0.09260743403502471
2.65,-0.09390006944029225
2.66,-0.0953343296386615
2.67,-0.0969345579519596
2.68,-0.0987305659587153
2.69,-0.10075918244340677
2.7,-0.10306633858497254
2.71,-0.10570991226256729
2.72,-0.10876366410375299
2.73,-0.11232277105396497
2.74,-0.11651174248732618
2.75,-0.12149596519749381
2.76,-0.12749890634358785
2.77,-0.13482837156938127
2.78,-0.14391768777150812
2.79,-0.15539231811493542
2.8,-0.17018149703709243
2.81,-0.18971313873486495
2.82,-0.2162708734869011
2.83,-0.25368641580208817
2.84,-0.30877759395497606
2.85,-0.39459718918441433
2.86,-0.538586077830302
2.87,-0.8059629424248915
2.88,-1.379410553988662
2.89,-2.894437353358769
2.9,-8.067016076329166
2.91,-9.030095745439612
2.92,-3.1655747332034974
2.93,-1.4730816414483465
2.94,-0.8481270651625427
2.95,-0.5618762091240233
2.96,-0.40971356502621353
2.97,-0.31995017117324004
2.98,-0.26283942280624417
2.99,-0.22437836831946878
3.0,-0.1973111085625754
3.01,-0.17758528925695932
3.02,-0.16279796597899387
3.03,-0.1514528375558696
3.04,-0.14257952952427452
3.05,-0.13552680158373626
3.06,-0.12984460758767355
3.07,-0.1252139726974558
3.08,-0.12140377721078893
3.09,-0.1182432767251599
3.1,-0.11560414163337801
3.11,-0.11338842906327107
3.12,-0.11152035094126987
3.13,-0.10994052925836349
3.14,-0.10860191594985369
3.15,-0.1074668484746613
3.16,-0.10650489388816105
3.17,-0.10569124914524278
3.18,-0.10500553955935499
3.19,-0.10443090611963887
3.2,-0.10395330498482802
3.21,-0.10356096462666052
3.22,-0.10324396136258981
3.23,-0.10299388468022164
3.24,-0.10280357129667628
3.25,-0.10266689229113912
3.26,-0.1025785815511403
3.27,-0.10253409662457738
3.28,-0.102529505173036
3.29,-0.10256139178790372
3.3,-0.10262678110638998
3.31,-0.10272307405421768
3.32,-0.1028479947202006
3.33,-0.10299954588892701
3.34,-0.10317597166067591
3.35,-0.10337572590126079
3.36,-0.10359744551005524
3.37,-0.10383992768781118
3.38,-0.10410211053914165
3.39,-0.10438305646645536
3.4,-0.10468193790979156
