Freq_GHz,dB_S11
2.4,-0.08882262267564318
2.41,-0.08958914233475632
2.42,-0.09040016498278498
2.43,-0.09126129495538968
2.44,-0.09217893012010564
2.45,-0.09316040848434312
2.46,-0.09421418708167219
2.47,-0.09535006150993461
2.48,-0.09657943701589788
2.49,-0.09791566541332898
2.5,-0.0993744667275167
2.51,-0.10097446077291086
2.52,-0.10273784261504354
2.53,-0.10469124811020414
2.54,-0.10686687305767154
2.55,-0.10930393437071986
2.56,-0.11205059782580887
2.57,-0.11516655026434094
2.58,-0.11872647397935059
2.59,-0.12282480266820502
2.6,-0.12758232706665865
2.61,-0.13315551709802786
2.62,-0.13974991060308414
2.63,-0.14763971940185952
2.64,-0.15719716567131112
2.65,-0.1689374481188782
2.66,-0.18358955686431572
2.67,-0.2022112641692891
2.68,-0.22638247514111515
2.69,-0.25854360193081194
2.7,-0.3026157314474359
2.71,-0.365199943118069
2.72,-0.4580464136748122
2.73,-0.6035203623276839
2.74,-0.8477312224503398
2.75,-1.2947241373622977
2.76,-2.1980825009306812
2.77,-4.121629903864147
2.78,-6.697572869852539
2.79,-5.030823937966269
2.8,-2.681999609214894
2.81,-1.5349937964408646
2.82,-0.9812090399876656
2.83,-0.6868121905310132
2.84,-0.5153621480815493
2.85,-0.40789984775833654
2.86,-0.33653104835270975
2.87,-0.2869075088567569
2.88,-0.2511074699547388
2.89,-0.22449176341859273
2.9,-0.2042065706520026
2.91,-0.18842210519458047
2.92,-0.1759231134010754
2.93,-0.16587771082779545
2.94,-0.15770132748533738
2.95,-0.15097366907002405
2.96,-0.1453863966485498
2.97,-0.14070922222414978
2.98,-0.13676738320886306
2.99,-0.13342633958267064
3.0,-0.13058116756834331
3.01,-0.12814907431052489
3.02,-0.12606402780098155
3.03,-0.12427284629288804
3.04,-0.12273231133505853
3.05,-0.12140700956255136
3.06,-0.12026770051667504
3.07,-0.11929006902095754
3.08,-0.11845376201638337
3.09,-0.11774163812450346
3.1,-0.11713917792093477
3.11,-0.11663401677806974
3.12,-0.1162155720206322
3.13,-0.11587474325725489
3.14,-0.11560366993306348
3.15,-0.11539553395671448
3.16,-0.11524439808030038
3.17,-0.11514507282407768
3.18,-0.11509300633248738
3.19,-0.11508419275993866
3.2,-0.11511509571304014
3.21,-0.11518258399173704
3.22,-0.1152838774273501
3.23,-0.11541650104947905
3.24,-0.1155782461547561
3.25,-0.11576713711981997
3.26,-0.1159814030150879
3.27,-0.11621945324681268
3.28,-0.11647985659217569
3.29,-0.11676132310289755
3.3,-0.11706268844244913
3.31,-0.11738290029491062
3.32,-0.11772100654319899
3.33,-0.11807614496318654
3.34,-0.11844753422055607
3.35,-0.11883446599053243
3.36,-0.11923629804819784
3.37,-0.11965244820011575
3.38,-0.12008238894713372
3.39,-0.12052564278443034
3.4,-0.1209817780581553
