Freq_GHz,dB_S11
2.4,-0.08273272058752437
2.41,-0.08309541396047951
2.42,-0.08346813581544774
2.43,-0.08385209540082578
2.44,-0.08424862420925854
2.45,-0.08465919473260126
2.46,-0.0850854425416061
2.47,-0.08552919238365092
2.48,-0.08599248915874784
2.49,-0.08647763484691956
2.5,-0.08698723273298622
2.51,-0.08752424062714927
2.52,-0.0880920352376206
2.53,-0.08869449045088366
2.54,-0.0893360730652128
2.55,-0.09002196057323361
2.56,-0.09075818699669598
2.57,-0.0915518246793536
2.58,-0.09241121254124615
2.59,-0.09334624487832854
2.6,-0.09436873978147631
2.61,-0.09549291328259818
2.62,-0.09673599537276212
2.63,-0.0981190385505009
2.64,-0.09966799084409651
2.65,-0.10141513695344731
2.66,-0.10340105916476437
2.67,-0.10567734372090463
2.68,-0.10831037476743431
2.69,-0.11138674514820482
2.7,-0.11502112141878795
2.71,-0.11936792123118578
2.72,-0.1246390678645136
2.73,-0.13113171794763634
2.74,-0.13927290490849137
2.75,-0.14969397636059945
2.76,-0.16335984484865018
2.77,-0.18180434760199377
2.78,-0.20758377715395168
2.79,-0.2452127355356766
2.8,-0.30326547790998676
2.81,-0.39962619575881037
2.82,-0.5765663003065505
2.83,-0.9529941477293102
2.84,-1.9600519116431006
2.85,-5.905965778061529
2.86,-14.39841796227622
2.87,-3.3091615445595357
2.88,-1.3491285260942387
2.89,-0.7366716819221313
2.9,-0.4790297463256056
2.91,-0.3487477487746418
2.92,-0.27435883503610586
2.93,-0.22811299354981412
2.94,-0.19751186083130787
2.95,-0.17627924709066697
2.96,-0.1609909748585617
2.97,-0.14965298358991563
2.98,-0.14104133767890142
2.99,-0.13437156457394042
3.0,-0.12912230475500772
3.01,-0.12493623054464477
3.02,-0.12156186874885525
3.03,-0.11881812482390725
3.04,-0.11657192953632456
3.05,-0.11472374428248903
3.06,-0.1131979212530013
3.07,-0.11193614640232308
3.08,-0.11089288856973156
3.09,-0.11003218314248568
3.1,-0.10932532128000799
3.11,-0.1087491647667636
3.12,-0.10828490023853414
3.13,-0.10791710663823728
3.14,-0.10763304906928337
3.15,-0.10742213837535652
3.16,-0.10727551346628691
3.17,-0.10718571555081012
3.18,-0.10714643188508305
3.19,-0.1071522925992977
3.2,-0.10719870841031029
3.21,-0.10728174009010495
3.22,-0.10739799279049798
3.23,-0.1075445299660651
3.24,-0.1077188028560169
3.25,-0.10791859239868319
3.26,-0.10814196114152808
3.27,-0.10838721323422976
3.28,-0.10865286099437106
3.29,-0.10893759684560211
3.3,-0.10924026966923557
3.31,-0.10955986479868629
3.32,-0.10989548703433275
3.33,-0.11024634617367546
3.34,-0.110611744644703
3.35,-0.11099106690507513
3.36,-0.1113837703292727
3.37,-0.11178937735443337
3.38,-0.1122074686944349
3.39,-0.11263767746388098
3.4,-0.11307968407950508
