Freq_GHz,dB_S11
2.4,-0.0794171502130011
2.41,-0.07979055316380322
2.42,-0.08017711928822457
2.43,-0.08057880819475291
2.44,-0.08099785174667584
2.45,-0.0814368088695337
2.46,-0.0818986334649019
2.47,-0.08238675914899476
2.48,-0.08290520576608881
2.49,-0.08345871432878475
2.5,-0.0840529194157685
2.51,-0.08469457142078711
2.52,-0.0853918258618327
2.53,-0.08615462394789014
2.54,-0.086995198892231
2.55,-0.08792875785793934
2.56,-0.08897441285508842
2.57,-0.09015647024649603
2.58,-0.0915062460305653
2.59,-0.09306466716036764
2.6,-0.09488607362335902
2.61,-0.09704389946337834
2.62,-0.09963937431317219
2.63,-0.10281523070834907
2.64,-0.10677799997296533
2.65,-0.11183564281738877
2.66,-0.11846385714306376
2.67,-0.12742901745646243
2.68,-0.14003047229839766
2.69,-0.15861514507854224
2.7,-0.1877777885539651
2.71,-0.2375205011538342
2.72,-0.33303765839941385
2.73,-0.5528494056967701
2.74,-1.2382447986723535
2.75,-4.742901008321642
2.76,-4.6683739661382635
2.77,-1.207588553419847
2.78,-0.5354380640701148
2.79,-0.3216162570978149
2.8,-0.2296525109497986
2.81,-0.1823654733064363
2.82,-0.15507182662673413
2.83,-0.1380062948932702
2.84,-0.12669891120281235
2.85,-0.11887479811653125
2.86,-0.11327915606434971
2.87,-0.10917467203832007
2.88,-0.10610544196584301
2.89,-0.1037774759668416
2.9,-0.10199440490991489
2.91,-0.10062108203705147
2.92,-0.09956207000911448
2.93,-0.09874844745167446
2.94,-0.09812945427953715
2.95,-0.09766705061657177
2.96,-0.09733228432668922
2.97,-0.09710281191663983
2.98,-0.09696117285562496
2.99,-0.09689356678486488
3.0,-0.09688897299789573
3.01,-0.09693850702618993
3.02,-0.09703494414431739
3.03,-0.09717236212979431
3.04,-0.09734587038552227
3.05,-0.09755140239056818
3.06,-0.09778555512822987
3.07,-0.09804546373740924
3.08,-0.09832870283884501
3.09,-0.09863320825110256
3.1,-0.09895721442816613
3.11,-0.09929920411841127
3.12,-0.09965786759689851
3.13,-0.10003206945097856
3.14,-0.10042082136590004
3.15,-0.10082325970723305
3.16,-0.10123862696155025
3.17,-0.10166625629828305
3.18,-0.10210555867033273
3.19,-0.10255601199041715
3.2,-0.10301715201300216
3.21,-0.10348856462430603
3.22,-0.10396987929993728
3.23,-0.10446076353508346
3.24,-0.10496091808799876
3.25,-0.10547007290637062
3.26,-0.10598798362929632
3.27,-0.10651442857611615
3.28,-0.10704920614864445
3.29,-0.10759213258549452
3.3,-0.10814304001742225
3.31,-0.10870177478070543
3.32,-0.1092681959525654
3.33,-0.10984217407812315
3.34,-0.11042359006315498
3.35,-0.11101233421076655
3.36,-0.11160830538334139
3.37,-0.112211410273892
3.38,-0.11282156277318517
3.39,-0.11343868342101457
3.4,-0.11406269893151459
