Freq_GHz,dB_S11
2.4,-0.0835433001753509
2.41,-0.08379265164948982
2.42,-0.08404293944903059
2.43,-0.08429444644238908
2.44,-0.08454746582998175
2.45,-0.0848023026054351
2.46,-0.08505927520138154
2.47,-0.0853187173478194
2.48,-0.08558098017594779
2.49,-0.0858464346061477
2.5,-0.08611547406569947
2.51,-0.08638851759026575
2.52,-0.0866660133732021
2.53,-0.08694844283903212
2.54,-0.08723632533237288
2.55,-0.08753022353174494
2.56,-0.08783074972006852
2.57,-0.08813857307121176
2.58,-0.08845442814592258
2.59,-0.08877912483289968
2.6,-0.08911356002357113
2.61,-0.08945873137557683
2.62,-0.08981575360365976
2.63,-0.0901858778431141
2.64,-0.09057051476650488
2.65,-0.09097126230875363
2.66,-0.09138993908096393
2.67,-0.09182862484642387
2.68,-0.09228970981647722
2.69,-0.09277595503123717
2.7,-0.09329056676523076
2.71,-0.09383728880452377
2.72,-0.0944205176690794
2.73,-0.09504544753230891
2.74,-0.09571825390738904
2.75,-0.09644632840562578
2.76,-0.09723858144198566
2.77,-0.09810583629755204
2.78,-0.09906134741789475
2.79,-0.10012148974671828
2.8,-0.10130668667767861
2.81,-0.10264267576535055
2.82,-0.10416226014011333
2.83,-0.10590777057413293
2.84,-0.10793458733985747
2.85,-0.11031627622762652
2.86,-0.11315224145290248
2.87,-0.1165794075111749
2.88,-0.12079054427650407
2.89,-0.12606392080230117
2.9,-0.1328130375561315
2.91,-0.14167357045076256
2.92,-0.1536629886752438
2.93,-0.17049122564142222
2.94,-0.19520989899513874
2.95,-0.2336944115688388
2.96,-0.29843232640210204
2.97,-0.41977059576929016
2.98,-0.68700425651422
2.99,-1.4515154969372834
3.0,-4.885138978883086
3.01,-9.370468521520355
3.02,-2.1907775898276007
3.03,-0.9028074535028017
3.04,-0.5124038750179263
3.05,-0.3491892340827836
3.06,-0.2666099993923637
3.07,-0.21935475585975467
3.08,-0.18991205084346013
3.09,-0.17039801603209448
3.1,-0.15684828176774387
3.11,-0.14709539415135298
3.12,-0.13987409333683912
3.13,-0.1344058194162713
3.14,-0.13019030063090248
3.15,-0.12689423081160778
3.16,-0.124288615625906
3.17,-0.12221191783164279
3.18,-0.12054754255639336
3.19,-0.11920962487244799
3.2,-0.11813379737056945
3.21,-0.11727103918684098
3.22,-0.11658348486415152
3.23,-0.11604151059303966
3.24,-0.11562167151002115
3.25,-0.11530521735970813
3.26,-0.11507700832539929
3.27,-0.11492471230176707
3.28,-0.11483820309213544
3.29,-0.11480910403262026
3.3,-0.1148304382155481
3.31,-0.11489635777118945
3.32,-0.11500193242219034
3.33,-0.11514298292752183
3.34,-0.11531594884436962
3.35,-0.11551778275780779
3.36,-0.11574586509255942
3.37,-0.11599793505416679
3.38,-0.11627203430248184
3.39,-0.11656646074485875
3.4,-0.1168797304247372
