Freq_GHz,dB_S11
2.7,-0.13247386003053546
2.705,-0.13594989635120344
2.71,-0.13983514037704567
2.715,-0.14419895437579924
2.72,-0.1491260093950725
2.725,-0.15472051330326322
2.73,-0.16111186178546874
2.735,-0.1684622850759819
2.74,-0.1769773352087045
2.745,-0.18692048138717235
2.75,-0.19863375160865918
2.755,-0.21256744550919465
2.76,-0.22932374764988575
2.765,-0.24972214564111836
2.77,-0.27489995362010977
2.775,-0.3064710211207393
2.78,-0.3467840804555982
2.785,-0.3993581219119544
2.79,-0.4696457247193719
2.795,-0.5664336145573763
2.8,-0.7045507578153416
2.805,-0.9104320638037372
2.81,-1.2343765994190818
2.815,-1.7797913218807855
2.82,-2.7793809511140606
2.825,-4.813954068090331
2.83,-9.517226499592008
2.835,-15.837626695481417
2.84,-7.816655840657284
2.845,-4.117544828077864
2.85,-2.4574425747326694
2.855,-1.6157074318817366
2.86,-1.1443734576308842
2.865,-0.8585406345006696
2.87,-0.673844430214725
2.875,-0.5482916650324239
2.88,-0.459374944683437
2.885,-0.3942569460122699
2.89,-0.34522308729971285
2.895,-0.3074281060678298
2.9,-0.2777123385986589
2.905,-0.2539477600391365
2.91,-0.23466054375294754
2.915,-0.21880474679451004
2.92,-0.20562199291382705
2.925,-0.19455186645358596
2.93,-0.18517316917959672
2.935,-0.17716449715509977
2.94,-0.17027722114894836
2.945,-0.16431661334310016
2.95,-0.15912843555558306
2.955,-0.15458925814653998
2.96,-0.15059937115985964
2.965,-0.14707752502890278
2.97,-0.14395698124241105
2.975,-0.14118251343830043
2.98,-0.13870810656632576
2.985,-0.13649517462264565
2.99,-0.13451116770314267
2.995,-0.1327284742291539
3.0,-0.13112354903327889
3.005,-0.12967621576303445
3.01,-0.1283691049133177
3.015,-0.127187198189751
3.02,-0.12611745683185427
3.025,-0.12514851668039614
3.03,-0.12427043664233701
3.035,-0.12347449013417298
3.04,-0.1227529913156575
3.045,-0.12209914963908777
3.05,-0.12150694756328825
3.055,-0.12097103731171817
3.06,-0.12048665336028272
3.065,-0.12004953797530718
3.07,-0.11965587762473959
3.075,-0.1193022484856332
3.08,-0.11898556959107064
3.085,-0.1187030624168489
3.09,-0.11845221591612831
3.095,-0.11823075617873469
3.1,-0.11803662002918074
