Freq_GHz,dB_S11
2.4,-0.08306847623284624
2.41,-0.08328190802840836
2.42,-0.0834944101770849
2.43,-0.08370618415589998
2.44,-0.08391743093913506
2.45,-0.08412835131056116
2.46,-0.0843391462085796
2.47,-0.08455001710902682
2.48,-0.08476116645131503
2.49,-0.08497279811441201
2.5,-0.08518511795029188
2.51,-0.08539833438375125
2.52,-0.08561265908904811
2.53,-0.08582830775565924
2.54,-0.08604550095763157
2.55,-0.08626446514371071
2.56,-0.08648543376860691
2.57,-0.08670864858967159
2.58,-0.08693436115796788
2.59,-0.08716283453858205
2.6,-0.08739434530200757
2.61,-0.08762918583732637
2.62,-0.08786766704853428
2.63,-0.08811012150904739
2.64,-0.08835690716597067
2.65,-0.08860841170688334
2.66,-0.08886505772850867
2.67,-0.08912730888014064
2.68,-0.08939567719783659
2.69,-0.08967073190040394
2.7,-0.08995310998935663
2.71,-0.09024352908757927
2.72,-0.0905428030725041
2.73,-0.09085186121914518
2.74,-0.09117177178065705
2.75,-0.09150377121823274
2.76,-0.09184930067652829
2.77,-0.09221005182502856
2.78,-0.09258802490831236
2.79,-0.09298560285424542
2.8,-0.09340564670632878
2.81,-0.09385161966633164
2.82,-0.09432774995127437
2.83,-0.0948392469418316
2.84,-0.09539259145348569
2.85,-0.09599593056637179
2.86,-0.0966596222293069
2.87,-0.0973969980428107
2.88,-0.09822544979644099
2.89,-0.09916800633385321
2.9,-0.10025567005945375
2.91,-0.10153096053582306
2.92,-0.10305343167073683
2.93,-0.10490852174903612
2.94,-0.10722224370708659
2.95,-0.1101865560075701
2.96,-0.11410526596083201
2.97,-0.11948181057648388
2.98,-0.12719876290017545
2.99,-0.13891666871039998
3.0,-0.1580587606212759
3.01,-0.19260404567245865
3.02,-0.264677458473513
3.03,-0.4540458669823181
3.04,-1.1953655802307264
3.05,-4.257520199618706
3.06,-1.3801458057992582
3.07,-0.5083482557081181
3.08,-0.29257270558571813
3.09,-0.21184543266436692
3.1,-0.17357717541229878
3.11,-0.15261131675135436
3.12,-0.13997138025031433
3.13,-0.13182542891446938
3.14,-0.12631775208642362
3.15,-0.1224615808764397
3.16,-0.1196929641162415
3.17,-0.11767057816047632
3.18,-0.11617796891526568
3.19,-0.11507244465526976
3.2,-0.11425681232131897
3.21,-0.11366299188457654
3.22,-0.11324212761262954
3.23,-0.11295840998420749
3.24,-0.11278509768531006
3.25,-0.11270188739543759
3.26,-0.11269313337662998
3.27,-0.11274661676680557
3.28,-0.11285267868849255
3.29,-0.11300359915540167
3.3,-0.11319314516622574
3.31,-0.11341623724263519
3.32,-0.11366870018013703
3.33,-0.11394707452869587
3.34,-0.11424847244374298
3.35,-0.1145704663480039
3.36,-0.11491100212845591
3.37,-0.11526833087125493
3.38,-0.115640954739192
3.39,-0.11602758373620221
3.4,-0.11642710092379666
