Freq_GHz,dB_S11
2.4,-0.09254376582902611
2.41,-0.09293874819893558
2.42,-0.09333892985429121
2.43,-0.09374498638035922
2.44,-0.09415762864920366
2.45,-0.09457760691976952
2.46,-0.09500571543323624
2.47,-0.09544279757417083
2.48,-0.09588975167935612
2.49,-0.09634753758965944
2.5,-0.09681718405636584
2.51,-0.09729979713249515
2.52,-0.09779656970226745
2.53,-0.09830879232929628
2.54,-0.09883786563671693
2.55,-0.09938531447198712
2.56,-0.09995280415686175
2.57,-0.10054215918100431
2.58,-0.10115538476843747
2.59,-0.10179469183249476
2.6,-0.10246252594122607
2.61,-0.10316160104643629
2.62,-0.10389493889208079
2.63,-0.10466591522031221
2.64,-0.10547831414689207
2.65,-0.10633639239659562
2.66,-0.1072449554924175
2.67,-0.1082094485052709
2.68,-0.10923606462703389
2.69,-0.11033187567427152
2.7,-0.11150498972420299
2.71,-0.11276474251194128
2.72,-0.11412193109333388
2.73,-0.1155891007607408
2.74,-0.1171808995126652
2.75,-0.11891451883828709
2.76,-0.1208102456352404
2.77,-0.12289215838499068
2.78,-0.12518901221580128
2.79,-0.12773537359514314
2.8,-0.13057308821860036
2.81,-0.13375319840229988
2.82,-0.13733847387581902
2.83,-0.14140679004725465
2.84,-0.1460556928987131
2.85,-0.15140864968843637
2.86,-0.15762373275073902
2.87,-0.16490587605154014
2.88,-0.17352447812240263
2.89,-0.18383917371653852
2.9,-0.19633837679415664
2.91,-0.21169830695293865
2.92,-0.23087581672334767
2.93,-0.25525880144313684
2.94,-0.2869182842698567
2.95,-0.3290474360565663
2.96,-0.38676032977163927
2.97,-0.46861940075969166
2.98,-0.589725180951708
2.99,-0.7783612821027213
3.0,-1.0911681536968756
3.01,-1.6489393855546128
3.02,-2.7115488405496246
3.03,-4.666863501952439
3.04,-6.430549369423254
3.05,-4.828631765580111
3.06,-2.8308645506513948
3.07,-1.727943922302002
3.08,-1.147861206856409
3.09,-0.8226091107078503
3.1,-0.6265819584074468
3.11,-0.5008310930449048
3.12,-0.4159317624054262
3.13,-0.35618063374024755
3.14,-0.31267481962720994
3.15,-0.2800961460287441
3.16,-0.2551226397317303
3.17,-0.23559836215879457
3.18,-0.2200773127812481
3.19,-0.2075615937314711
3.2,-0.19734518670356915
3.21,-0.18891752545519114
3.22,-0.18190216380270063
3.23,-0.17601671181954434
3.24,-0.17104603435166665
3.25,-0.16682393425131195
3.26,-0.16322039058126733
3.27,-0.1601325104422926
3.28,-0.15747801100791073
3.29,-0.15519045557005484
3.3,-0.15321572493711103
3.31,-0.15150937165160475
3.32,-0.15003461361866927
3.33,-0.1487607966280711
3.34,-0.1476622047019713
3.35,-0.14671713123216765
3.36,-0.14590714760626977
3.37,-0.1452165227841794
3.38,-0.14463175926183067
3.39,-0.14414121950857484
3.4,-0.14373482327591877
