Freq_GHz,dB_S11
2.4,-0.09423984372215133
2.41,-0.09452758955436061
2.42,-0.09481462758216594
2.43,-0.0951010868454951
2.44,-0.09538709552525593
2.45,-0.09567278105591671
2.46,-0.0959582702448067
2.47,-0.09624368939887912
2.48,-0.09652916445970978
2.49,-0.0968148211476145
2.5,-0.09710078511581814
2.51,-0.09738718211577216
2.52,-0.09767413817477096
2.53,-0.09796177978717599
2.54,-0.09825023412068981
2.55,-0.09853962923932766
2.56,-0.09883009434481052
2.57,-0.09912176003846972
2.58,-0.09941475860582855
2.59,-0.09970922432641097
2.6,-0.10000529381157
2.61,-0.10030310637349217
2.62,-0.1006028044289292
2.63,-0.10090453394166159
2.64,-0.10120844490816212
2.65,-0.10151469189163928
2.66,-0.10182343461012588
2.67,-0.1021348385852405
2.68,-0.1024490758590328
2.69,-0.10276632578734649
2.7,-0.10308677591940704
2.71,-0.1034106229746381
2.72,-0.10373807392931962
2.73,-0.1040693472276333
2.74,-0.10440467413371082
2.75,-0.10474430024393426
2.76,-0.10508848718160421
2.77,-0.10543751449972659
2.78,-0.10579168182164146
2.79,-0.1061513112541792
2.8,-0.10651675011373898
2.81,-0.10688837401253827
2.82,-0.10726659036039962
2.83,-0.10765184234723953
2.84,-0.10804461348298158
2.85,-0.10844543278576756
2.86,-0.10885488072613364
2.87,-0.10927359605544729
2.88,-0.10970228367168777
2.89,-0.1101417237061883
2.9,-0.11059278205202369
2.91,-0.11105642260070277
2.92,-0.11153372151026013
2.93,-0.11202588389818646
2.94,-0.1125342634400469
2.95,-0.11306038546448494
2.96,-0.11360597427332116
2.97,-0.1141729855904869
2.98,-0.11476364526624891
2.99,-0.11538049564857969
3.0,-0.11602645140121243
3.01,-0.11670486702535064
3.02,-0.11741961896518334
3.03,-0.11817520599798569
3.04,-0.11897687269743495
3.05,-0.11983076221344044
3.06,-0.12074410657325597
3.07,-0.1217254653783232
3.08,-0.12278502743986867
3.09,-0.123934994990718
3.1,-0.1251900772636391
3.11,-0.1265681303897943
3.12,-0.12809099519641495
3.13,-0.12978560582051912
3.14,-0.13168547364938862
3.15,-0.1338326986332848
3.16,-0.13628073278837013
3.17,-0.13909823424762627
3.18,-0.1423745310718198
3.19,-0.14622750874423937
3.2,-0.15081522774561668
3.21,-0.15635342382412018
3.22,-0.1631425436320062
3.23,-0.1716107221878096
3.24,-0.18238436827876128
3.25,-0.1964085344356526
3.26,-0.2151613753991472
3.27,-0.24105650020680514
3.28,-0.27824599745078316
3.29,-0.3343485370451892
3.3,-0.4245334528484545
3.31,-0.5823967744523469
3.32,-0.8938311317115183
3.33,-1.6272911069979201
3.34,-3.9055548326168843
3.35,-16.632328976050566
3.36,-6.6125326767725365
3.37,-2.360682844281902
3.38,-1.1961971916631047
3.39,-0.7446641381031909
3.4,-0.5281612776235198
