corte,expressao,posicao_mm,valor
x,Mag_H,0.6039999999999999,38.16099250053561
x,Mag_H,0.608,38.16967828355276
x,Mag_H,0.612,38.18134896145899
x,Mag_H,0.616,38.19595176051066
x,Mag_H,0.62,38.21343889908338
x,Mag_H,0.624,38.23376758767211
x,Mag_H,0.628,38.256900028890854
x,Mag_H,0.632,38.28280341747315
x,Mag_H,0.636,38.311449940271565
x,Mag_H,0.64,38.342816776258054
x,Mag_H,0.644,38.37688609652377
x,Mag_H,0.648,38.41364506427921
x,Mag_H,0.652,38.45308583485408
x,Mag_H,0.656,38.495205555697254
x,Mag_H,0.66,38.540006366377064
x,Mag_H,0.6639999999999999,38.58749539858089
x,Mag_H,0.668,38.6376847761155
x,Mag_H,0.672,38.690591614906886
x,Mag_H,0.676,38.74623802300034
x,Mag_H,0.68,38.80465110056032
x,Mag_H,0.684,38.86586293987064
x,Mag_H,0.6880000000000001,38.92991062533429
x,Mag_H,0.692,38.996836233473644
x,Mag_H,0.6960000000000001,39.066686832930195
x,Mag_H,0.7000000000000001,39.13951448446473
x,Mag_H,0.704,39.215376240957404
x,Mag_H,0.708,39.294334147407476
x,Mag_H,0.712,39.376455240933545
x,Mag_H,0.716,39.46181155077342
x,Mag_H,0.72,39.550480098284304
x,Mag_H,0.7239999999999999,39.642542896942466
x,Mag_H,0.728,39.738086952343636
x,Mag_H,0.732,39.83720426220261
x,Mag_H,0.736,39.939991816353604
x,Mag_H,0.74,40.046551596749914
x,Mag_H,0.744,40.156990577464384
x,Mag_H,0.748,40.27142072468873
x,Mag_H,0.7519999999999999,40.38995899673429
x,Mag_H,0.756,40.51272734403141
x,Mag_H,0.76,40.639852709129826
x,Mag_H,0.764,40.77146702669855
x,Mag_H,0.768,40.90770722352571
x,Mag_H,0.772,41.04871521851882
x,Mag_H,0.776,41.19463792270462
x,Mag_H,0.7799999999999999,41.345627239229124
x,Mag_H,0.784,41.50184006335754
x,Mag_H,0.788,41.663438282474495
x,Mag_H,0.792,41.83058877608363
x,Mag_H,0.796,42.00346341580806
x,Mag_H,0.8,42.182239065389986
x,Mag_H,0.804,42.36709758069114
x,Mag_H,0.808,42.558225809692125
x,Mag_H,0.8119999999999999,42.755815592493164
x,Mag_H,0.8160000000000001,42.96006376131352
x,Mag_H,0.8200000000000001,43.17117214049178
x,Mag_H,0.8240000000000001,43.389347546485844
x,Mag_H,0.8280000000000001,43.61480178787278
x,Mag_H,0.8320000000000001,43.847751665348945
x,Mag_H,0.836,44.08841897172999
x,Mag_H,0.8399999999999999,44.33703049195081
x,Mag_H,0.844,44.593818003065564
x,Mag_H,0.848,44.85901827424756
x,Mag_H,0.852,45.13287306678957
x,Mag_H,0.856,45.41562913410352
x,Mag_H,0.86,45.70753822172045
x,Mag_H,0.864,46.008857067291025
x,Mag_H,0.868,46.31984740058475
x,Mag_H,0.8719999999999999,46.640775943490745
x,Mag_H,0.876,46.97191441001706
x,Mag_H,0.88,47.31353950629131
x,Mag_H,0.884,47.66593293056019
x,Mag_H,0.888,48.02938137318974
x,Mag_H,0.892,48.40417651666509
x,Mag_H,0.896,48.790615035590875
x,Mag_H,0.8999999999999999,49.188998596690865
x,Mag_H,0.904,49.59963385880797
x,Mag_H,0.908,50.02283247290467
x,Mag_H,0.912,50.458911082062436
x,Mag_H,0.916,50.755668378584666
x,Mag_H,0.92,50.41868386851451
x,Mag_H,0.924,50.08354466301898
x,Mag_H,0.9279999999999999,49.75027918784548
x,Mag_H,0.932,49.41891621097064
x,Mag_H,0.936,49.08948484260013
x,Mag_H,0.9400000000000001,48.76201453516852
x,Mag_H,0.9440000000000001,48.436535083339606
x,Mag_H,0.9480000000000001,48.113076624006325
x,Mag_H,0.9520000000000001,47.791669636290564
x,Mag_H,0.956,47.47234494154325
x,Mag_H,0.9599999999999999,47.15513370334447
x,Mag_H,0.964,46.840067427503406
x,Mag_H,0.968,46.52717796205826
x,Mag_H,0.972,46.21649749727625
x,Mag_H,0.976,45.9080585656538
x,Mag_H,0.98,45.60189404191638
x,Mag_H,0.9840000000000001,45.29803714301834
x,Mag_H,0.9879999999999999,44.99652142814351
x,Mag_H,0.992,44.69738079870432
x,Mag_H,0.9959999999999999,44.400649498342666
x,Mag_H,1.0,44.10636211292924
x,Mag_H,1.0039999999999998,43.81455357056393
x,Mag_H,1.008,43.525259141575724
x,Mag_H,1.012,43.23851443852267
x,Mag_H,1.016,42.954355416191824
x,Mag_H,1.02,42.67281837159937
x,Mag_H,1.024,42.39393994399055
x,Mag_H,1.028,42.11775711483973
x,Mag_H,1.0319999999999998,41.844307207850214
x,Mag_H,1.036,41.57362788895456
x,Mag_H,1.04,41.305757166314315
x,Mag_H,1.044,41.04073339031994
x,Mag_H,1.048,40.77859525359135
x,Mag_H,1.052,40.519381790977235
x,Mag_H,1.056,40.26313237955528
x,Mag_H,1.0599999999999998,40.00988673863262
x,Mag_H,1.064,39.75968492974511
x,Mag_H,1.068,39.51256735665787
x,Mag_H,1.072,39.268574765364946
x,Mag_H,1.076,39.0277482440897
x,Mag_H,1.08,38.79012922328423
x,Mag_H,1.084,38.55575947563008
x,Mag_H,1.088,38.32468111603756
x,Mag_H,1.092,38.09693660164617
x,Mag_H,1.096,37.87256873182457
x,Mag_H,1.1,37.651620648170336
x,Mag_H,1.104,37.43413583451015
x,Mag_H,1.108,37.2201581169
x,Mag_H,1.112,37.00973166362455
x,Mag_H,1.116,36.80290098519792
x,Mag_H,1.12,36.59971093436301
x,Mag_H,1.124,36.49669912928223
x,Mag_H,1.1280000000000001,36.46966687263479
x,Mag_H,1.1320000000000001,36.446263775869774
x,Mag_H,1.1360000000000001,36.426406732478995
x,Mag_H,1.1400000000000001,36.410013399413174
x,Mag_H,1.1440000000000001,36.39700219708222
x,Mag_H,1.1480000000000001,36.38729230935513
x,Mag_H,1.152,36.38080368356
x,Mag_H,1.156,36.37745703048391
x,Mag_H,1.16,36.37717382437316
x,Mag_H,1.164,36.379876302933205
x,Mag_H,1.168,36.385487467328424
x,Mag_H,1.172,36.3939310821824
x,Mag_H,1.176,36.40513167557776
x,Mag_H,1.1799999999999997,36.419014539056306
x,Mag_H,1.184,36.43550572761879
x,Mag_H,1.188,36.45453205972527
x,Mag_H,1.192,36.47602111729479
x,Mag_H,1.196,36.49990124570536
x,Mag_H,1.2,36.52610155379436
x,Mag_H,1.204,36.554551913858006
x,Mag_H,1.2079999999999997,36.58518296165184
x,Mag_H,1.212,36.61792609639023
x,Mag_H,1.216,36.65271348074697
x,Mag_H,1.22,36.689478040854624
x,Mag_H,1.224,36.72815346630515
x,Mag_H,1.228,36.768674210149356
x,Mag_H,1.232,36.81097548889729
x,Mag_H,1.236,36.85499328251804
x,Mag_H,1.24,36.900664334439796
x,Mag_H,1.244,36.947926151549886
x,Mag_H,1.248,36.99671700419466
x,Mag_H,1.252,37.046975926179655
x,Mag_H,1.256,37.09864271476948
x,Mag_H,1.26,37.1516579306877
x,Mag_H,1.264,37.20596289811722
x,Mag_H,1.268,37.26149970469985
x,Mag_H,1.272,37.31821120153654
x,Mag_H,1.276,37.3760410031875
x,Mag_H,1.28,37.43493348767172
x,Mag_H,1.284,37.49483379646755
x,Mag_H,1.288,37.55568783451231
x,Mag_H,1.292,37.61744227020252
x,Mag_H,1.296,37.680044535393634
x,Mag_H,1.2999999999999998,37.74344282540042
x,Mag_H,1.304,37.80758609899651
x,Mag_H,1.308,37.872424078414866
x,Mag_H,1.312,37.9379072493473
x,Mag_H,1.316,38.00398686094492
x,Mag_H,1.32,38.07061492581783
x,Mag_H,1.324,38.13774422003528
x,Mag_H,1.3279999999999998,38.20532828312559
x,Mag_H,1.332,38.27332141807613
x,Mag_H,1.336,38.34167869133351
x,Mag_H,1.34,38.41035593280325
x,Mag_H,1.344,38.479309735850144
x,Mag_H,1.348,38.54849745729792
x,Mag_H,1.352,38.617877217429566
x,Mag_H,1.3559999999999999,38.68740789998697
x,Mag_H,1.36,38.75704915217135
x,Mag_H,1.364,38.8267613846429
x,Mag_H,1.368,38.896505771520765
x,Mag_H,1.372,38.966244250383426
x,Mag_H,1.3760000000000001,39.04719793573494
x,Mag_H,1.3800000000000001,39.157466923324016
x,Mag_H,1.384,39.27090513399483
x,Mag_H,1.3880000000000001,39.38742658146647
x,Mag_H,1.3920000000000001,39.506946524442476
x,Mag_H,1.3960000000000001,39.6293814666111
x,Mag_H,1.4000000000000001,39.754649156645144
x,Mag_H,1.4040000000000001,39.88266858820197
x,Mag_H,1.408,40.013359999923615
x,Mag_H,1.412,40.146644875436536
x,Mag_H,1.416,40.282445943352
x,Mag_H,1.4199999999999997,40.42068717726562
x,Mag_H,1.424,40.56129379575775
x,Mag_H,1.428,40.70419226239336
x,Mag_H,1.432,40.849310285721856
x,Mag_H,1.436,40.996576819277315
x,Mag_H,1.44,41.14592206157848
x,Mag_H,1.444,41.29727745612848
x,Mag_H,1.4479999999999997,41.45057569141518
x,Mag_H,1.452,41.60575070091109
x,Mag_H,1.456,41.76273766307311
x,Mag_H,1.46,41.921473001342875
x,Mag_H,1.464,42.0818943841466
x,Mag_H,1.468,42.243940724894955
x,Mag_H,1.472,42.40755218198342
x,Mag_H,1.4759999999999998,42.5726701587918
x,Mag_H,1.48,42.73923730368462
x,Mag_H,1.484,42.90719751001105
x,Mag_H,1.488,43.07649591610483
x,Mag_H,1.492,43.24707890528411
x,Mag_H,1.496,43.418894105851805
x,Mag_H,1.5,43.591890391095404
x,Mag_H,1.5039999999999998,43.76601787928691
x,Mag_H,1.508,43.941227933683045
x,Mag_H,1.512,44.1174731625248
x,Mag_H,1.516,44.29470741903822
x,Mag_H,1.52,44.4728858014335
x,Mag_H,1.524,44.65196465290571
x,Mag_H,1.528,44.8319015616343
x,Mag_H,1.5319999999999998,45.01265536078355
x,Mag_H,1.536,45.19418612850218
x,Mag_H,1.54,45.37645518792331
x,Mag_H,1.544,45.55942510716503
x,Mag_H,1.548,45.74305969932974
x,Mag_H,1.552,45.92732402250461
x,Mag_H,1.556,46.112184379761125
x,Mag_H,1.5599999999999998,46.2976083191556
x,Mag_H,1.564,46.483564633729
x,Mag_H,1.568,46.670023361506544
x,Mag_H,1.572,46.85695578549828
x,Mag_H,1.576,47.04433443369888
x,Mag_H,1.58,47.23213307908745
x,Mag_H,1.584,47.42032673962781
x,Mag_H,1.588,47.608891678268165
x,Mag_H,1.592,47.79780540294164
x,Mag_H,1.5959999999999999,47.987046666565575
x,Mag_H,1.6,48.176595467042276
x,Mag_H,1.604,48.36643304725812
x,Mag_H,1.608,48.544123272866614
x,Mag_H,1.612,48.69784217597357
x,Mag_H,1.616,48.85429172276996
x,Mag_H,1.62,49.01338629531178
x,Mag_H,1.6239999999999999,49.17504181199205
x,Mag_H,1.6280000000000001,49.339175727541125
x,Mag_H,1.6320000000000001,49.50570703302649
x,Mag_H,1.6360000000000001,49.67455625585301
x,Mag_H,1.6400000000000001,49.84564545976248
x,Mag_H,1.6440000000000001,50.01889824483423
x,Mag_H,1.6480000000000001,50.19423974748459
x,Mag_H,1.652,50.3715966404672
x,Mag_H,1.6560000000000001,50.55089713287278
x,Mag_H,1.6600000000000001,50.73207097012936
x,Mag_H,1.6640000000000001,50.91504943400233
x,Mag_H,1.668,51.09976534259404
x,Mag_H,1.672,51.28615305034422
x,Mag_H,1.676,51.47414844802973
x,Mag_H,1.6799999999999997,51.66368896276463
x,Mag_H,1.684,51.854713558000284
x,Mag_H,1.688,52.047162733525205
x,Mag_H,1.692,52.24097852546509
x,Mag_H,1.696,52.43610450628292
x,Mag_H,1.7,52.632485784778815
x,Mag_H,1.704,52.830069006090234
x,Mag_H,1.7079999999999997,53.028802351691674
x,Mag_H,1.712,53.228635539395086
x,Mag_H,1.716,53.429519823349324
x,Mag_H,1.72,53.63140799404071
x,Mag_H,1.724,53.83425437829272
x,Mag_H,1.728,54.03801483926591
x,Mag_H,1.732,54.24264677645822
x,Mag_H,1.736,54.44810912570472
x,Mag_H,1.74,54.65436235917759
x,Mag_H,1.7439999999999998,54.86136848538665
x,Mag_H,1.748,55.06909104917834
x,Mag_H,1.752,55.27749513173667
x,Mag_H,1.756,55.48654735058283
x,Mag_H,1.76,55.69621585957519
x,Mag_H,1.764,55.90647034890929
x,Mag_H,1.768,56.117282045117996
x,Mag_H,1.7719999999999998,56.32862371107123
x,Mag_H,1.776,56.54046964597629
x,Mag_H,1.78,56.752795685377336
x,Mag_H,1.784,56.96557920115645
x,Mag_H,1.788,57.178799101532235
x,Mag_H,1.792,57.392435831060695
x,Mag_H,1.796,57.60647137063527
x,Mag_H,1.7999999999999998,57.82088923748655
x,Mag_H,1.804,58.03567448518195
x,Mag_H,1.808,58.25081370362658
x,Mag_H,1.812,58.46629501906255
x,Mag_H,1.816,58.655336578292236
x,Mag_H,1.82,58.7698022872611
x,Mag_H,1.824,58.88344007389496
x,Mag_H,1.8279999999999998,58.99617862173739
x,Mag_H,1.832,59.10794776401712
x,Mag_H,1.836,59.21867848364842
x,Mag_H,1.84,59.328302913230814
x,Mag_H,1.844,59.43675433504893
x,Mag_H,1.848,59.543967181072766
x,Mag_H,1.852,59.64987703295773
x,Mag_H,1.8559999999999999,59.75442062204455
x,Mag_H,1.86,59.85753582935898
x,Mag_H,1.864,59.959161685612486
x,Mag_H,1.868,60.05923837120138
x,Mag_H,1.872,60.157707216207726
x,Mag_H,1.8760000000000001,60.25451070039847
x,Mag_H,1.8800000000000001,60.34959245322604
x,Mag_H,1.884,60.44289725382832
x,Mag_H,1.8880000000000001,60.53437103102821
x,Mag_H,1.892,60.623960863334105
x,Mag_H,1.8960000000000001,60.71161497893954
x,Mag_H,1.9000000000000001,60.79728275572352
x,Mag_H,1.9040000000000001,60.88091472125021
x,Mag_H,1.9080000000000001,60.96246255276918
x,Mag_H,1.912,61.04187907721518
x,Mag_H,1.9160000000000001,61.11911827120843
x,Mag_H,1.9199999999999997,61.19413526105417
x,Mag_H,1.924,61.2668863227433
x,Mag_H,1.928,61.33732888195171
x,Mag_H,1.932,61.405421514040704
x,Mag_H,1.936,61.47112394405698
x,Mag_H,1.94,61.53439704673223
x,Mag_H,1.944,61.59520284648388
x,Mag_H,1.9479999999999997,61.653504517414234
x,Mag_H,1.952,61.70926638331127
x,Mag_H,1.9559999999999997,61.76245391764802
x,Mag_H,1.96,61.81303374358286
x,Mag_H,1.964,61.86097363395946
x,Mag_H,1.9680000000000002,61.90624251130675
x,Mag_H,1.9719999999999998,61.94881044783914
x,Mag_H,1.9759999999999998,61.98864866545619
x,Mag_H,1.98,62.02572953574279
x,Mag_H,1.984,62.06002657996901
x,Mag_H,1.9880000000000002,62.091514469090406
x,Mag_H,1.9919999999999998,62.120169023747756
x,Mag_H,1.996,62.14596721426715
x,Mag_H,2.0,62.16888716065979
x,Mag_H,2.004,62.188908132622586
x,Mag_H,2.0079999999999996,62.20601054953745
x,Mag_H,2.012,62.2201759804716
x,Mag_H,2.016,62.23138714417757
x,Mag_H,2.02,62.23962790909318
x,Mag_H,2.024,62.24488329334177
x,Mag_H,2.028,62.247139464731674
x,Mag_H,2.032,62.24638374075661
x,Mag_H,2.036,62.24260458859579
x,Mag_H,2.04,62.23579162511329
x,Mag_H,2.044,62.22593561685892
x,Mag_H,2.048,62.21302848006782
x,Mag_H,2.052,62.19706328065995
x,Mag_H,2.056,62.178034234241025
x,Mag_H,2.06,62.15593670610172
x,Mag_H,2.0639999999999996,62.13076721121834
x,Mag_H,2.068,62.10252341425213
x,Mag_H,2.072,62.0712041295501
x,Mag_H,2.076,62.036809321144105
x,Mag_H,2.08,61.99934010275145
