corte,posicao_mm,Mag_H_A_per_m
x,2.872,15.860475856265897
x,2.876,15.772296846411004
x,2.88,15.684651537275295
x,2.884,15.597543468586466
x,2.888,15.510976100016766
x,2.892,15.424952811182857
x,2.8959999999999995,15.339476901645815
x,2.9,15.254551590911213
x,2.904,15.170180018429019
x,2.908,15.086365243593697
x,2.912,15.004072081593156
x,2.9159999999999995,14.99958841333774
x,2.92,14.994694183704748
x,2.924,14.989372325011947
x,2.928,14.983606062347384
x,2.932,14.977378913569757
x,2.936,14.970674689308016
x,2.94,14.963477492961694
x,2.944,14.955771720700765
x,2.948,14.947542061465537
x,2.9519999999999995,14.938773496966919
x,2.956,14.929451301686226
x,2.96,14.91956104287521
x,2.964,14.909088580556093
x,2.968,14.898020067521475
x,2.972,14.886341949334517
x,2.976,14.874040964328822
x,2.98,14.861104143608376
x,2.984,14.847518811047616
x,2.988,14.833272583291498
x,2.992,14.818353369755409
x,2.996,14.802749372625156
x,3.0,14.786449086857056
x,3.004,14.76944130017782
x,3.0079999999999996,14.751715093084677
x,3.012,14.733259838845221
x,3.016,14.71406520349754
x,3.02,14.69412114585019
x,3.024,14.673417917482269
x,3.028,14.651946062743086
x,3.032,14.629696418752602
x,3.036,14.606660115401155
x,3.04,14.582828575349625
x,3.0439999999999996,14.558193514029204
x,3.048,14.532746939641628
x,3.052,14.506481153159099
x,3.056,14.479388748324174
x,3.06,14.451462611649978
x,3.0639999999999996,14.42269592242004
x,3.068,14.39308215268827
x,3.072,14.362615067279185
x,3.076,14.331288723787626
x,3.08,14.299097472578937
x,3.084,14.266035956788905
x,3.088,14.232099112323764
x,3.092,14.19728216786023
x,3.096,14.161580644845447
x,3.0999999999999996,14.124990357496994
x,3.104,14.087507412802962
x,3.108,14.049128210521824
x,3.112,14.009849443182558
x,3.116,13.969668096084563
x,3.1199999999999997,13.92858144729769
x,3.124,13.886587067662282
x,3.128,13.843682820789093
x,3.132,13.79986686305935
x,3.136,13.755137643624716
x,3.14,13.709493904407333
x,3.144,13.662934680099783
x,3.148,13.615459298165089
x,3.152,13.567067378836725
x,3.1559999999999997,13.517758835118675
x,3.16,13.467533872785275
x,3.164,13.4163929903814
x,3.168,13.364336979222335
x,3.172,13.31136692339381
x,3.176,13.257484199752051
x,3.18,13.20269047792372
x,3.184,13.146987720305892
x,3.188,13.090378182066148
x,3.1919999999999997,13.032864411142484
x,3.196,12.974449248243412
x,3.2,12.915135826847786
x,3.204,12.85492757320501
x,3.208,12.793828206334878
x,3.2119999999999997,12.731841738027697
x,3.216,12.668972472844205
x,3.22,12.60522500811552
x,3.224,12.54060423394334
x,3.228,12.475115333199723
x,3.232,12.408763781527231
x,3.236,12.34155534733881
x,3.24,12.273496091817938
x,3.244,12.204592368918505
x,3.2479999999999998,12.134850825364845
x,3.2520000000000002,12.064278400651798
x,3.2560000000000002,11.992882327044565
x,3.2600000000000002,11.920670129578905
x,3.2640000000000002,11.847649626060923
x,3.268,11.773828927067262
x,3.2720000000000002,11.699216435945017
x,3.2760000000000002,11.623820848811665
x,3.2800000000000002,11.547651154555187
x,3.2840000000000003,11.470716634833996
x,3.2880000000000003,11.393026864076983
x,3.2920000000000003,11.314591709483478
x,3.2960000000000003,11.235421331023264
x,3.3000000000000003,11.155526181436546
x,3.304,11.074917006234054
x,3.3080000000000003,10.993604843696877
x,3.3120000000000003,10.911601024876653
x,3.3160000000000003,10.828917173595391
x,3.3200000000000003,10.745565206445626
x,3.324,10.661557332790277
x,3.3280000000000003,10.576906054762755
x,3.332,10.491624167266908
x,3.336,10.40572475797706
x,3.3399999999999994,10.319221207337963
x,3.344,10.232127188564833
x,3.348,10.144456667643325
x,3.352,10.056223903329563
x,3.356,9.967443447150142
x,3.3599999999999994,9.878130143402064
x,3.364,9.788299129152788
x,3.368,9.697965834240255
x,3.372,9.607145981272872
x,3.376,9.515855585629442
x,3.38,9.424110955459279
x,3.384,9.331928691682089
x,3.388,9.239325687988103
x,3.392,9.14631913083793
x,3.3959999999999995,9.0529264994627
x,3.4,8.959165565863934
x,3.404,8.865054394813669
x,3.408,8.770611343854334
x,3.412,8.67585506329885
x,3.4159999999999995,8.580804496230542
x,3.42,8.485478878503276
x,3.424,8.389897738741325
x,3.428,8.29408089833934
x,3.432,8.198048471462549
x,3.436,8.101820865046552
x,3.44,8.005418778797456
x,3.444,7.908863205191768
x,3.448,7.812175429476445
x,3.4519999999999995,7.7153770296689705
x,3.456,7.618489876557215
x,3.46,7.521536133699511
x,3.464,7.424538257424652
x,3.468,7.327518996831882
x,3.472,7.230501393790933
x,3.476,7.133508782941894
x,3.48,7.036564791695435
x,3.484,6.939693340232553
x,3.4879999999999995,6.842918641504807
x,3.492,6.74626520123412
x,3.496,6.64975781791294
x,3.5,6.553421582804135
x,3.504,8.855384508122272
x,3.5079999999999996,8.80631478310974
x,3.512,8.75743455365329
x,3.516,8.70874429508326
x,3.52,8.660244473219276
x,3.524,8.611935544370406
x,3.528,8.563817955334935
x,3.532,8.515892143400684
x,3.536,8.468158536344744
x,3.54,8.420617552433606
x,3.5439999999999996,8.373269600423164
x,3.548,8.326115079558571
x,3.552,8.279154379574436
x,3.556,8.232387880694786
x,3.56,8.18581595363284
x,3.5639999999999996,8.139438959591368
x,3.568,8.093257250262363
x,3.572,8.047271167827327
x,3.576,8.001481044957023
x,3.58,7.955887204811573
x,3.584,7.910489961040579
x,3.588,7.865289617782879
x,3.592,7.8202864696668
x,3.596,7.775480801809905
x,3.5999999999999996,7.730872889819255
x,3.604,7.68646299979117
x,3.608,7.642251388311442
x,3.612,7.598238302455135
x,3.616,7.554423979786712
x,3.6199999999999997,7.5108086483600545
x,3.624,7.467392526718355
x,3.628,7.424175823894169
x,3.632,7.381158739409433
x,3.6359999999999997,7.338341463275485
x,3.64,7.29572417599302
x,3.644,7.253307048552056
x,3.648,7.211090242431975
x,3.652,7.169073909601626
x,3.6559999999999997,7.127258192519095
x,3.66,7.085643224131961
x,3.664,7.044229127877049
